"Player","cluster","League","Age","progressive_passes_per90","progressive_carries_per90","progression_index","padj_interceptions","padj_tackles"
"Conor Coady","1","Premier League",31,1.68028004667445,0.157526254375729,0.690441017220981,0.908113646275705,0.908113646275705
"Craig Dawson","1","Premier League",33,1.99637845178814,0.0407424173834314,0.855545724988039,1.15845368214544,2.17210065402269
"Cristhian Mosquera","4","La Liga",20,3.33534197047303,0.949081048508587,1.56220558373413,0.988444485202944,1.58151117632471
"Cédric Kipré","3","Ligue 1",27,3.16438356164384,0.657534246575342,1.51399921315163,2.28282190380684,2.99620374874648
"César Montes","2","La Liga",26,2.61744966442953,0.352348993288591,1.14653468395663,0.618696109037675,1.23739221807535
"Dan-Axel Zagadou","4","Bundesliga",24,4.64556090846524,0.12388162422574,1.81209086524565,1.18323777114567,1.24239965970295
"David García","4","La Liga",29,5.12853470437018,0.809768637532134,2.23089736803278,0.746856219717662,1.20326835398957
"David López","3","La Liga",33,2.47328244274809,0.687022900763359,1.20445189736226,2.33156649545393,3.84708471749898
"David Torres","2","La Liga",21,2.40086517664023,0.713770728190339,1.15351130944324,0.68337095736663,0.88838224457662
"David Zec","1","Bundesliga",24,1.98572355613238,0.175210902011681,0.926795104686021,2.23413440869454,3.02265243529261
"Denis Vavro","2","Bundesliga",28,3.51076798049573,0.329134498171475,1.48399650937442,1.51323028346702,0.858860431156959
"Diego Carlos","2","Premier League",30,2.92400881057269,0.198237885462555,1.19133935133261,0.559329318271842,1.16168396871844
"Diego Llorente","2","Serie A",30,3.00230231805102,0.539796166645019,1.35070725216727,1.16399702288953,1.22254592913608
"Duje Ćaleta-Car","2","Ligue 1",27,2.6841388039958,0.226531496601742,1.13127537360778,0.891311267356619,1.15774895183194
"Dylan Batubinsika","2","Ligue 1",28,2.27678571428571,0.491071428571429,1.06243507792488,1.82439587611574,1.2162639174105
"Emmanuel Agbadou","1","Premier League",27,1.97872340425532,0.382978723404255,0.93645542161601,1.36118307652089,3.40295769130223
"Emmanuel Biumla","1","Ligue 1",19,1.07784431137725,0.202095808383234,0.487545559404204,1.12408910177713,2.66971161672067
"Eray Cömert","2","Ligue 1",25,2.57142857142857,0.315789473684211,1.11091288907879,1.89835831509341,2.21475136760897
"Etienne Youte Kinkoue","2","Ligue 1",22,1.94068445877525,0.510965730426904,0.930782633197306,1.4303461577099,0.647385424158058
"Fali Candé","1","Ligue 1",25,1.84964845862628,0.194699837750135,0.833721363620696,1.04942276572538,2.09884553145077
"Federico Baschirotto","2","Serie A",27,2.24568593615186,0.553566292781133,1.04475906587711,0.673495709797107,0.84479395420523
"Federico Fazio","1","Serie A",36,1.79335793357934,0.132841328413284,0.765168205714912,2.11283125742171,2.23711544903475
"Florent Ogier","3","Ligue 1",34,1.62248144220573,0.381760339342524,0.75916642906572,2.21237037500684,4.67055968057
"Florian Lejeune","2","La Liga",33,3.47726801223076,0.487096008732381,1.54214157355186,1.04997433227201,1.39441377522263
"Gabriel Osho","3","Premier League",24,1.80390032502709,0.487540628385699,0.86354684478191,3.85734445694299,5.10164912047299
"Gabriel Paulista","1","La Liga",32,2.1244635193133,0.128755364806867,0.866134930290372,1.60914641147201,0.670477671446673
"Gautier Lloris","2","Ligue 1",29,3.3103292488046,0.42192708398357,1.40650289852929,0.968063189457792,1.73116110192043
"Germán Pezzella","1","La Liga",32,2.08167690639682,0.162631008312252,0.862481395395084,1.18111117143016,1.2954122525363
"Harry Maguire","4","Premier League",30,3.97459165154265,1.08892921960073,1.93944062957372,1.32442517896944,1.27144817181066
"Illia Zabarnyi","4","Premier League",21,3.49934801317883,0.715125224935453,1.61740644663239,2.09359087283824,3.12200488834913
"Isak Hien","1","Serie A",25,2.13886311633788,0.135367425870219,0.861853704190229,1.53583325340357,2.16479591167775
"Ismaël Traoré","1","Ligue 1",36,1.2972972972973,0.0405405405405405,0.516361962748191,1.31106938772043,0.830343945556271
"Issa Diop","1","Premier League",27,1.68035847647498,0.403286034353996,0.81808407854089,0.628166288846087,1.81470261222203
"Ivan Ordets","1","Bundesliga",32,2.32133261687265,0.0967221923696937,0.987099867122168,1.98456547790192,0.871272648834989
"Jack Stephens","4","Premier League",30,4.08207343412527,0.907127429805616,1.87853302801461,0.933455375100506,2.44134482718593
"Jaka Bijol","1","Serie A",24,1.81381957773512,0.215930902111324,0.781882639919929,1.04207447400853,1.94822619053769
"Jake O'Brien","2","Ligue 1",22,2.5833685099198,0.569860700717602,1.20631619236198,0.456880040381296,0.837613407365709
"Jan Bednarek","1","Premier League",28,2.1335440537337,0.177795337811142,0.900410583474933,2.20672561458887,1.41860932366427
"Jannik Vestergaard","1","Premier League",31,2.07045291157441,0.194104960460101,0.887383000019301,1.37721111737349,1.89366528638855
"Jarrad Branthwaite","2","Premier League",22,2.36559139784946,0.3584229390681,1.02904187704074,0.946749218204673,1.26233229093956
"Javi Sánchez","1","La Liga",27,1.51036525172754,0.177690029615005,0.695230524331926,1.02923896313353,1.2163733200669
"Jhon Lucumí","4","Serie A",26,3.74690564908637,1.15364545856443,1.84731216400893,0.932378713693448,2.27759086725352
"Joachim Andersen","4","Premier League",28,3.90243902439024,0.557491289198606,1.67507825004101,1.2301758706933,0.976904367903498
"Jon Pacheco","2","La Liga",22,3.12581913499345,0.530799475753604,1.38948217620562,0.659264814614271,1.64816203653568
"Jonny Evans","2","Premier League",35,2.39224137931034,0.452586206896552,1.1509599626662,1.44693450802411,1.38402431202307
"Jorge Herrando","1","La Liga",22,1.91605839416058,0.164233576642336,0.796011646928494,0.883598143157452,1.70828974343774
"Jorge Sáenz","3","La Liga",27,1.91715976331361,0.266272189349112,0.831038969396929,2.91535399370025,4.31472391067638
"Joseph Okumu","4","Ligue 1",27,6.15929203539823,0.955752212389381,2.66802368723596,2.30428649029175,2.7651437883501
"José María Giménez","2","La Liga",29,2.88144072036018,0.135067533766883,1.13706498278004,1.34544400315221,1.2956127437762
"Juan Berrocal","1","La Liga",25,2.11665098777046,0.0846660395108184,0.835449251391454,1.87192425390136,1.74712930364127
"Juan Herzog","1","La Liga",21,1.84790874524715,0,0.682770246013502,1.85397364534247,1.23598243022831
"Juan Jesus","2","Serie A",33,4.18994413407821,0.251396648044693,1.65919722457039,0.845553969704596,2.34876102695722
"Jubal","1","Ligue 1",30,1.125,0.0340909090909091,0.485395718212388,0.626552794577964,1.50372670698712
"Julien Laporte","2","Ligue 1",29,2.77227722772277,0.247524752475248,1.1243441852127,0.558410261217804,1.16758509163723
"Karol Mets","4","Bundesliga",31,5.4,0.5,2.25387188745299,1.10552560958238,1.19765274371424
"Kevin Danso","4","Ligue 1",24,4.50847457627119,0.915254237288136,2.06063768141849,0.782648607244439,0.816676807559414
"Kevin Vogt","2","Bundesliga",32,3.69887384361206,0.396120408660904,1.53259648531734,1.30027668931964,1.78887944974101
"Kialonda","1","Serie A",26,1.42723880597015,0.167910447761194,0.656966904056195,1.46666373784516,1.55833022146049
"Ko Itakura","2","Bundesliga",27,2.2258064516129,0.741935483870968,1.14415320174138,0.954467874852785,1.36352553550398
"Konstantinos Mavropanos","2","Premier League",26,2.68459657701711,0.748166259168704,1.31420452438118,1.78779597293412,1.56432147631736
"Kurt Zouma","1","Premier League",28,1.68076109936575,0.221987315010571,0.734058299744188,0.933978507530463,0.740741574937954
"Ladislav Krejčí","4","La Liga",25,5.31147540983607,1.06967213114754,2.41776235757866,3.19204831068191,2.15932679840246
"Leo Skiri Østigård","4","Ligue 1",24,4.27605624750069,0.313349633251834,1.74581511483652,0.988148349836602,1.26793004048746
"Leonardo Balerdi","4","Ligue 1",24,4.83487450462351,0.752972258916777,2.10416880170087,2.02871041080734,3.14251220497607
"Lilian Brassier","4","Ligue 1",23,4.06798655211057,0.672394471423235,1.79382161716234,2.51893599978354,1.90456136568999
"Loïc Bade","2","La Liga",24,2.54069556976741,0.480731593182628,1.17511456112949,1.29951488253696,2.17699529780519
"Lucas Beraldo","4","Ligue 1",20,4.89566313845279,0.513892342118349,2.08865157379904,1.33442426841037,1.7943471958722
"Luke Woolfenden","1","Premier League",25,1.13732097725358,0.530749789385004,0.604683272781017,1.1062845742496,0.524029535170861
"Manuel Gulde","2","Bundesliga",32,3.25354176844162,0.439667806546165,1.39225777788259,1.19815534502974,1.77326991064402
"Marc Bartra","2","La Liga",33,2.91567413053835,0.300142925202477,1.23013770894102,1.65744735856489,1.65744735856489
"Marc-Oliver Kempf","2","Serie A",29,2.92543021032505,0.58508604206501,1.38163113971849,1.67943668416867,1.52676062197152
"Marco Friedl","1","Bundesliga",26,2.6453008888272,0.165224675354491,1.05828992551674,1.31489528977751,2.19317148747008
"Marin Pongračić","4","Serie A",25,3.74650512581547,1.25815470643057,1.9085680947276,1.5568779099773,1.31266176723576
"Marin Šverko","2","Serie A",26,3.06177260519248,0.644583706356312,1.40089672717648,1.80211466147871,2.2526433268484
"Mark Mckenzie","2","Ligue 1",25,3.49759615384615,0.360576923076923,1.45843257634226,0.821487013012804,1.94169657621208
"Matija Nastasić","2","La Liga",31,2.53375885214865,0.240547563376557,1.06004860041363,0.998859027681454,1.19835860440201
"Mats Hummels","2","Serie A",35,2.55737704918033,0.39344262295082,1.13731347016386,2.43124811857617,2.80528629066482
"Matteo Gabbia","2","Serie A",24,3.09479553903346,0.543680297397769,1.35609835177828,0.610330731372988,0.854463023922183
"Mattia Bani","1","Serie A",29,1.44405897658283,0.195143104943625,0.623464569835367,1.07537537909148,1.27089817528993
"Max Kilman","2","Premier League",26,3.07894736842105,0.578947368421053,1.46542168227535,1.82386592051373,2.19799226318322
"Maxence Lacroix","1","Premier League",24,1.87740693196406,0.231065468549422,0.839360098297224,2.41411303508032,3.03999419232337
"Maxime Estève","3","Premier League",21,2.7501909854851,1.03132161955691,1.39404052514748,3.25327263828313,3.25327263828313
"Mickael Nade","2","Ligue 1",25,2.8100607111882,0.663486556808326,1.34617083227434,1.3495831259171,2.41289104330633
"Miguel Ángel Rubio","1","La Liga",25,1.55769230769231,0.403846153846154,0.748547545779302,2.26927144959071,1.62090817827907
"Milan Škriniar","2","Ligue 1",28,3.37016574585635,0.276243093922652,1.35685999233544,0.649192071636233,1.29838414327247
"Moritz Jenz","1","Bundesliga",25,2.64375,0.05625,1.04412004903077,2.41982170605562,2.90378604726674
"Murillo","2","Premier League",21,2.87199713158838,0.709931875224095,1.37180946309213,1.50433883667603,2.03289031983247
"Nathan Zeze","1","Ligue 1",19,2.68998695368558,0.103555120678408,1.03831588594395,1.41775409797077,1.88811486929754
"Nayef Aguerd","4","Premier League",28,3.56543269936848,0.907099060067558,1.69623185376726,0.755928611258073,1.41884308807378
"Nico Elvedi","4","Bundesliga",26,3.95245769540693,1.34165995165189,1.95744247422074,1.64768491634179,1.26450237765765
"Nicolò Casale","4","Serie A",25,2.82873636946761,1.15458627325208,1.47911809328805,0.698976239456936,0.873720299321169
"Nikola Milenković","1","Premier League",26,1.37837837837838,0.0810810810810811,0.606296293389937,0.919415854380446,1.73667439160751
"Norbert Gyömbér","1","Serie A",31,2.14772727272727,0.204545454545455,0.936987292964665,2.20074819978433,3.44464935618418
"Obite N'Dicka","2","Serie A",24,2.81578947368421,0.763157894736842,1.36519382496746,0.825590833787759,0.800572929733585
"Pablo Marí","3","Serie A",30,2.51778205757455,0.169726951549978,1.0178938013585,3.9126271285372,2.91255623221739
"Radu Drăgușin","2","Premier League",22,2.65974440894569,0.503194888178914,1.238979567509,1.04549638767219,0.696997591781455
"Rafa Marín","2","La Liga",21,2.83667621776504,0.478919361440851,1.26667406736415,1.94105745232583,1.88223752952809
"Raúl Albiol","2","La Liga",38,2.66158632111365,0.290888948569894,1.10331755570181,0.687600572168163,1.10235637026767
"Raúl Asencio","1","La Liga",21,1.45508982035928,0.269461077844311,0.72277999967968,0.89257041809905,1.22728432488619
"Raúl Torrente","1","La Liga",21,2.376,0.288,1.03910626261744,1.11259137357076,2.93319543941382
"Robin Knoche","2","Bundesliga",31,3.33333333333333,0.0938967136150235,1.30409716649126,1.48512146575551,3.8841638335144
"Robin Koch","2","Bundesliga",27,3.81300219138057,0.460189919649379,1.60598305621742,1.22884238954641,1.45925033758635
"Robin Le Normand","4","La Liga",26,3.86391251518834,0.765492102065614,1.72464063749318,1.14090996350095,1.2631503167332
"Saidou Sow","1","Ligue 1",22,1.41453831041257,0,0.572680634246395,1.76213748477975,1.05728249086785
"Santiago Bueno","1","Premier League",25,1.49377593360996,0.0533491404860699,0.570465885449147,1.42210146554124,3.88707733914605
"Santiago Mouriño","3","La Liga",22,2.23904813412655,0.681449432125473,1.16054169768533,2.25376693913054,3.34179235802114
"Saúl Coco","2","Serie A",25,2.46014680037217,0.445363382611393,1.07379239101409,1.15537692516147,1.57628656759417
"Scott Mckenna","1","La Liga",27,1.64233576642336,0.401459854014599,0.787651451151369,0.494317790678295,1.15340817824935
"Sebastiaan Bornauw","1","Bundesliga",24,2.57861635220126,0.125786163522013,1.04986098908271,1.26604104287348,1.82872595081724
"Sebastian Walukiewicz","2","Serie A",23,1.97080291970803,0.613138686131387,0.978452778705821,0.75354805160089,1.95922493416231
"Simone Romagnoli","1","Serie A",33,1.55801104972376,0.0662983425414365,0.626840410289,1.75941480809939,2.12343166494755
"Sokratis Papastathopoulos","1","La Liga",35,1.02992957746479,0.0792253521126761,0.43049408196704,0.556815301797008,1.94885355628953
"Teden Mengi","3","Premier League",21,1.96840826245444,0.54678007290401,0.979214997094743,5.3028847835542,5.02378558441978
"Thiago Silva","2","Premier League",38,3.63276612584092,0.0712307083498219,1.45770180025325,0.898696645453881,1.00239241223702
"Thilo Kehrer","4","Ligue 1",27,5.24968527066723,0.604280318925724,2.2031208217032,1.49916461582356,1.54080807737421
"Thomas Kristensen","2","Serie A",21,2.01812977099237,0.858778625954199,1.09273476976482,1.30639754628235,1.57668669378905
"Tim Siersleben","3","Bundesliga",23,4.74725274725275,1.18681318681319,2.2504631962069,5.75102333850667,7.39417286379428
"Tosin Adarabioyo","2","Premier League",26,2.68275372604684,0.319375443577005,1.12030487727682,0.681909446243422,1.05386005328529
"Trevoh Chalobah","2","Premier League",25,3.65934065934066,0.395604395604396,1.57351273330768,0.959850559197784,1.05583561511756
"Tyrone Mings","2","Premier League",31,3.21428571428571,0.5625,1.45133554736148,0.488337520183493,0.488337520183493
"Virgil Van Dijk","4","Premier League",33,5.35135135135135,0.594594594594595,2.27565650154046,1.45285321288661,0.985864680173062
"Víctor Chust","4","La Liga",23,3.86266094420601,0.482832618025751,1.67697053870605,1.13768987183631,2.99936420756845
"William Saliba","4","Premier League",22,4.13157894736842,0.421052631578947,1.71756308729404,0.708954278626699,1.00231466978257
"Willian Pacho","2","Ligue 1",22,3.36109215987265,0.396654158849281,1.42336483159733,1.52402274045856,2.07725376759255
"Yarek Gasiorowski","4","La Liga",19,3.61140443505808,0.855332629355861,1.71230011034486,2.57344481539004,1.88059428816965
"Yeray Álvarez","4","La Liga",28,4.296875,1.015625,2.00692293606816,0.924447343460608,1.5127320165719
"Yerry Mina","1","Serie A",28,1.7037037037037,0.296296296296296,0.732467206922806,0.309736769716518,1.54868384858259
"Álex Suárez","1","La Liga",31,1.9390243902439,0.219512195121951,0.823784916436404,0.715756085526863,2.20232641700573
"Éder Militão","4","La Liga",26,4.4136460554371,0.671641791044776,2.02709725572204,1.19183843141691,1.88707751641011
