"Age","fitted","lower","upper","outcome"
24.5,6.98095993774864,6.80957267708059,7.1523471984167,"Defensive"
25,6.94088760031991,6.76720166207337,7.11457353856645,"Defensive"
25.5,6.89528392817434,6.71937493970972,7.07119291663897,"Defensive"
26,6.84596095720412,6.66853933168679,7.02338258272145,"Defensive"
26.5,6.79472434082173,6.61641198816396,6.9730366934795,"Defensive"
27,6.7432989127146,6.56385938028749,6.92273844514171,"Defensive"
27.5,6.69334470964193,6.51158391320224,6.87510550608163,"Defensive"
28,6.64634340037516,6.46034907651582,6.8323377242345,"Defensive"
28.5,6.60367387206138,6.4115814960893,6.79576624803346,"Defensive"
29,6.56648225333802,6.36706978307011,6.76589472360592,"Defensive"
29.5,6.53579418084573,6.32885193131234,6.74273643037913,"Defensive"
30,6.51238608174771,6.29839517334534,6.72637699015007,"Defensive"
30.5,6.49691239273883,6.27651784329428,6.71730694218338,"Defensive"
31,6.48978879811839,6.26284678691824,6.71673080931853,"Defensive"
31.5,6.49131792820162,6.25628973358826,6.72634612281497,"Defensive"
32,6.50158894976327,6.25516169459647,6.74801620493007,"Defensive"
32.5,6.52059205857701,6.25813553599029,6.78304858116374,"Defensive"
33,6.54813502995262,6.26454743397292,6.83172262593232,"Defensive"
33.5,6.58394264976653,6.27463492877212,6.89325037076094,"Defensive"
34,6.62759016662564,6.28892054680204,6.96625978644925,"Defensive"
34.5,6.67858700457805,6.30770803074643,7.04946597840968,"Defensive"
35,6.73632882670615,6.3302896394462,7.14236801396609,"Defensive"
35.5,6.8001650252166,6.35483107508256,7.24549897535063,"Defensive"
36,6.86937366977897,6.37817390648306,7.36057343307487,"Defensive"
36.5,6.94321023048236,6.39656329148215,7.48985716948256,"Defensive"
37,7.02091110163105,6.40628924088281,7.63553296237929,"Defensive"
37.5,7.10171850255433,6.40468890893319,7.79874809617548,"Defensive"
38,7.18491702846628,6.39059927114169,7.97923478579086,"Defensive"
38.5,7.26982861278847,6.36438280465998,8.17527442091697,"Defensive"
39,7.3558821658878,6.3276082016616,8.38415613011399,"Defensive"
39.5,7.44257426465188,6.28251711596978,8.60263141333397,"Defensive"
40,7.52956517510611,6.23146468167126,8.82766566854096,"Defensive"
