"replication","spearman_corr","top10_overlap"
162,0.99892279202624,0.9
163,0.992320888365513,0.9
164,0.999803140776772,1
165,0.987040397790905,0.9
166,0.990568734483542,0.9
167,0.913098400420916,0.7
168,0.9995624955057,0.9
169,0.999864904023119,1
170,0.998859960827506,1
171,0.997771539353689,0.9
172,0.866840932763854,0.6
173,0.993187175742957,0.9
174,0.948940484437442,0.8
175,0.980515208709935,0.8
176,0.983279069485966,0.9
177,0.981896783113822,0.8
178,0.997646944908608,0.9
179,0.985053294383923,0.9
180,0.936096043094015,0.8
181,0.991224991224991,0.9
182,0.986420095446465,0.9
183,0.978549286358617,0.9
184,0.997761749790147,0.9
185,0.99726568590666,0.9
186,0.983058893302301,0.9
187,0.991010866771516,0.9
188,0.999096156296968,0.9
189,0.981557530239072,0.8
190,0.990864379302513,0.9
191,0.999731231982753,1
192,0.972209387016689,0.8
193,0.98904138457891,0.9
194,0.997517188693659,0.9
195,0.996489462513803,0.9
196,0.982152201726238,0.9
197,0.999531524886494,1
198,0.997398289994639,0.9
199,0.99670162905457,0.9
200,0.989521251184537,0.9
201,0.968705257244811,0.8
202,0.986413865724211,0.9
203,0.981392531595371,0.9
204,0.96767165732683,0.9
205,0.997910373163923,0.9
206,0.974294564051156,0.8
207,0.924179652374379,0.7
208,0.996946546135187,0.9
209,0.992269270666837,0.9
210,0.986895156266353,0.9
211,0.947072635713609,0.8
212,0.934939450659532,0.7
213,0.990382732776242,0.9
214,0.937302651298595,0.8
215,0.993126124464867,0.9
216,0.980946127497852,0.9
217,0.999271478480403,0.9
218,0.998762065192086,0.9
219,0.990521566586475,0.9
220,0.98549596064809,0.9
221,0.991178357304118,0.9
222,0.999235702075459,0.9
223,0.99664662950667,0.9
224,0.960230165098319,0.8
225,0.978521163612441,0.8
226,0.993047985948594,0.9
227,0.987661946079796,0.9
228,0.971577871172192,0.8
229,0.95511057934993,0.9
230,0.973059299124208,0.8
231,0.985476381521006,0.9
232,0.97457329962401,0.9
233,0.975708177026635,0.9
234,0.985789825546418,0.9
235,0.941313168493696,0.7
236,0.951289623703417,0.8
237,0.998914426399213,1
238,0.904828889108808,0.7
239,0.945375837363667,0.8
240,0.991292628209464,0.9
241,0.998873132240272,0.9
242,0.999522091307081,1
243,0.971162081709749,0.8
244,0.973449279737312,0.9
245,0.98511381168582,0.9
246,0.997601022955993,0.9
247,0.854539011232723,0.5
248,0.976713832190506,0.9
249,0.985302305282021,0.9
250,0.995061076196979,0.9
251,0.960155230439206,0.8
252,0.990327733228342,0.9
253,0.999172158908467,1
254,0.980364093447258,0.8
255,0.999317756417148,0.9
256,0.964658251676507,0.8
257,0.978158415785191,0.9
258,0.988970543737278,0.9
259,0.930579713034074,0.6
260,0.998513944254309,1
261,0.983511883106204,0.9
262,0.99910594586051,1
263,0.967767595049542,0.8
264,0.883839708890419,0.6
265,0.962563819054691,0.8
266,0.999014457939407,0.9
267,0.998984021296395,0.9
268,0.939915218819884,0.8
269,0.99588927327264,0.9
270,0.979936022532371,0.9
271,0.973483098229549,0.9
272,0.998607924064314,1
273,0.999972055245889,1
274,0.989143374031812,0.9
275,0.972039226603121,0.9
276,0.936918366431551,0.8
277,0.999514971624505,1
278,0.978103772221419,0.9
279,0.978580256977823,0.9
280,0.979866961611383,0.9
281,0.982759866634106,0.8
282,0.982802584729562,0.8
283,0.995162175689559,0.9
284,0.979414149799545,0.8
285,0.996383557235484,0.9
286,0.973468502880268,0.9
287,0.97136873049652,0.9
288,0.993724889769514,0.9
289,0.982738151602249,0.9
290,0.90113875762963,0.7
291,0.998975299685239,1
292,0.994580853607223,0.9
293,0.99036689148251,0.9
294,0.993329213410349,0.9
295,0.996384091211677,0.9
296,0.998442569436484,0.9
297,0.999406574457284,1
298,0.965875005428758,0.9
299,0.995899596812376,0.9
300,0.960026186192515,0.8
301,0.897524450769887,0.6
302,0.99642787725952,0.9
303,0.9929794590038,0.9
304,0.992753053097881,0.9
305,0.997196624985672,1
306,0.986217184493047,0.9
307,0.982703265157626,0.9
308,0.983314311914718,0.9
309,0.988001020962481,0.9
310,0.990226455743697,0.9
311,0.994805835576627,0.9
312,0.999085654765168,0.9
313,0.954789125681621,0.8
314,0.998394333587031,0.9
315,0.973147227204022,0.9
316,0.998643522477194,0.9
317,0.987240460871292,0.9
318,0.996983212500454,0.9
319,0.852393672880488,0.5
320,0.986874865171011,0.9
321,0.999706313093737,1
322,0.957121533693542,0.9
323,0.986378801287523,0.9
324,0.92568030346935,0.8
325,0.994985785553737,0.9
326,0.977177323526208,0.9
327,0.987390864165712,0.9
328,0.993895050183083,0.9
329,0.990658620476065,0.9
330,0.99876224318415,1
331,0.988876207943145,0.9
332,0.966072042644051,0.8
333,0.956749174294813,0.8
334,0.999632268394946,1
335,0.858431519689126,0.5
336,0.989956441782,0.9
337,0.99643232706113,0.9
338,0.972065035452459,0.9
339,0.959557889071074,0.9
340,0.981643500406178,0.8
341,0.769305375289148,0.4
342,0.870653700775405,0.6
