"Player","Squad","League","Season","Age","cluster","role_profile","scouting_score","progression_index","padj_interceptions","padj_tackles"
"David Zec","Holstein Kiel","Bundesliga","2024-2025",24,"2","Limited / Reactive Defender",2.28574375609326,0.938627115905767,0.825542334172256,1.11650133905553
"Adam Masina","Torino","Serie A","2024-2025",30,"1","Standard Build-up Distributor",2.2806450717527,1.50042688101773,0.842247228546802,1.06274563662447
"Taylor Harwood-Bellis","Southampton","Premier League","2024-2025",22,"1","Standard Build-up Distributor",2.27858347274575,1.79866995956355,0.705700521577604,0.737106853589475
"Armando Izzo","Monza","Serie A","2024-2025",32,"2","Limited / Reactive Defender",2.27606364545264,1.21051832832934,1.22489053273453,1.20339843994195
"David López","Girona","La Liga","2024-2025",34,"1","Standard Build-up Distributor",2.26582731698784,1.94585648885459,0.529407008686608,0.98801398846653
"Lautaro Valenti","Parma","Serie A","2024-2025",25,"2","Limited / Reactive Defender",2.25376004361663,0.792258960575337,0.958848965310122,1.27000408048291
"Pau Torres","Aston Villa","Premier League","2024-2025",27,"4","Elite Progressive Distributor",2.24892046322189,2.10356037801868,0.516802868231203,0.87725470063967
"Jack Stephens","Southampton","Premier League","2024-2025",30,"1","Standard Build-up Distributor",2.24698945758627,1.75991682454448,0.67313025692995,1.37034504904555
"Jorge Herrando","Osasuna","La Liga","2024-2025",23,"1","Standard Build-up Distributor",2.24555956366994,1.12635593509902,0.930567603511818,1.28693731746897
"Duje Ćaleta-Car","Lyon","Ligue 1","2024-2025",27,"1","Standard Build-up Distributor",2.23401821104519,1.09974328600743,0.848270895468844,1.05581046317569
"Guillermo Maripán","Torino","Serie A","2024-2025",30,"1","Standard Build-up Distributor",2.22871418271471,1.53736054533167,1.00168736939411,1.05968209321249
"Malick Thiaw","Milan","Serie A","2024-2025",22,"1","Standard Build-up Distributor",2.21289326831894,1.78974397785532,0.627130809405688,0.935494766354449
"Federico Fazio","Salernitana","Serie A","2023-2024",36,"2","Limited / Reactive Defender",2.2090677651996,0.841942021649976,1.03356198235854,1.21412007105117
"Gabriel Magalhães","Arsenal","Premier League","2024-2025",26,"1","Standard Build-up Distributor",2.20782859180132,1.89610819586355,0.647615033652154,0.952608182129017
"Conor Coady","Leicester City","Premier League","2024-2025",31,"2","Limited / Reactive Defender",2.20749937426069,0.77359892014483,0.870791103780421,1.0072053864908
"Christoph Klarer","Darmstadt 98","Bundesliga","2023-2024",23,"1","Standard Build-up Distributor",2.19090855422424,1.1197973574688,0.747976550444745,1.2107781215097
"Álex Suárez","Las Palmas","La Liga","2024-2025",31,"2","Limited / Reactive Defender",2.18514641113969,0.857396594470059,0.706891666864262,1.60838609929561
"Diego Carlos","Aston Villa","Premier League","2023-2024",30,"1","Standard Build-up Distributor",2.1799296273225,1.18705955607819,0.63343223627081,1.10173570070736
"Obite N'Dicka","Roma","Serie A","2024-2025",24,"1","Standard Build-up Distributor",2.17646183583961,1.32339739923813,0.757343641089841,0.805462285497749
"Raúl Albiol","Villarreal","La Liga","2024-2025",38,"1","Standard Build-up Distributor",2.16142656109103,1.09220282082401,0.708982944374527,1.03054094553375
"Andrea Carboni","Monza","Serie A","2024-2025",23,"2","Limited / Reactive Defender",2.15447288344162,0.968884032976678,0.898644121431125,1.77313470042738
"Dan Burn","Newcastle Utd","Premier League","2024-2025",32,"2","Limited / Reactive Defender",2.14527164895231,0.92951888648457,0.854755862685758,1.20906090343978
"Marash Kumbulla","Espanyol","La Liga","2024-2025",24,"2","Limited / Reactive Defender",2.13719409526887,0.937722835866153,1.02115596878451,1.49510009660545
"Javi Sánchez","Valladolid","La Liga","2024-2025",27,"2","Limited / Reactive Defender",2.13107385486552,0.744318497018834,1.03967642599817,1.28699795586556
"Jan Bednarek","Southampton","Premier League","2024-2025",28,"2","Limited / Reactive Defender",2.12106089672609,0.917513721478507,1.24764983557997,0.950257988203734
"Copete","Mallorca","La Liga","2024-2025",24,"1","Standard Build-up Distributor",2.09736717623542,1.23886541372698,0.805799688433859,1.2631070582199
"Federico Baschirotto","Lecce","Serie A","2024-2025",27,"2","Limited / Reactive Defender",2.09308986184991,0.855440283825467,0.791088727027712,1.20274873932632
"Leandro Cabrera","Espanyol","La Liga","2024-2025",33,"2","Limited / Reactive Defender",2.09197052050415,0.973478731643223,0.956295770910739,1.27909094100237
"Sergi","Leganés","La Liga","2024-2025",32,"2","Limited / Reactive Defender",2.09097894823995,0.947245924652,1.13789066638176,1.24947274284088
"Willy Kambwala","Villarreal","La Liga","2024-2025",19,"2","Limited / Reactive Defender",2.07782768399657,0.704834735554787,0.90313298973749,1.36878165800094
"Tosin Adarabioyo","Chelsea","Premier League","2024-2025",26,"1","Standard Build-up Distributor",2.0745721465839,1.14735628901787,0.757640201924033,1.09442954155337
"Jacob Greaves","Ipswich Town","Premier League","2024-2025",23,"1","Standard Build-up Distributor",2.05292837127219,1.23068461570873,0.750186788882141,1.28541170780068
"Kurt Zouma","West Ham","Premier League","2023-2024",28,"2","Limited / Reactive Defender",2.05171936506796,0.768953475965686,0.941162767836271,0.889577271101596
"David Torres","Valladolid","La Liga","2024-2025",21,"1","Standard Build-up Distributor",2.04832120533765,1.17367077257807,0.849077359883564,1.12245209965894
"Martin Valjent","Mallorca","La Liga","2024-2025",28,"1","Standard Build-up Distributor",2.03561632585445,1.3550286160155,0.554837178995713,0.8551112640928
"Tyrone Mings","Aston Villa","Premier League","2024-2025",31,"1","Standard Build-up Distributor",2.03405570680805,1.40406330613439,0.639560197916004,0.772776423811071
"Dara O'Shea","Ipswich Town","Premier League","2024-2025",25,"2","Limited / Reactive Defender",2.01368462696285,0.918905776082171,0.795624537124189,1.15456056411428
"Ezri Konsa","Aston Villa","Premier League","2024-2025",26,"1","Standard Build-up Distributor",2.00841179186196,1.29251909994271,0.65308065443268,0.909802747580526
"Matija Nastasić","Leganés","La Liga","2024-2025",31,"2","Limited / Reactive Defender",1.99856621702797,0.993999644869378,0.934806691906514,1.16333058656864
"Scott Mckenna","Las Palmas","La Liga","2024-2025",27,"1","Standard Build-up Distributor",1.99752213137208,0.823599722937573,0.589553139304415,1.04835334820817
"Abdoulaye Bamba","Angers","Ligue 1","2024-2025",34,"2","Limited / Reactive Defender",1.99370333548027,0.572559724445692,1.05664655809296,1.29965420497582
"Etienne Youte Kinkoue","Le Havre","Ligue 1","2024-2025",22,"1","Standard Build-up Distributor",1.98638374917924,1.1002022385539,0.971596724659618,0.822267401442008
"Michael Keane","Everton","Premier League","2024-2025",31,"2","Limited / Reactive Defender",1.98165512831244,0.676730712176943,1.15460365627259,1.1511657640221
"Antonio Raillo","Mallorca","La Liga","2024-2025",32,"1","Standard Build-up Distributor",1.95944139186762,1.45764062596919,0.681032153460198,0.779463856983355
"Emmanuel Biumla","Angers","Ligue 1","2024-2025",19,"2","Limited / Reactive Defender",1.9543218969587,0.628234577029284,0.725049447577294,1.28688607272101
"Nikola Milenković","Nott'ham Forest","Premier League","2024-2025",26,"2","Limited / Reactive Defender",1.94584926443974,0.637862473297602,0.813558298311614,1.40770319599431
"Luke Woolfenden","Ipswich Town","Premier League","2024-2025",25,"2","Limited / Reactive Defender",1.90939351853335,0.743665243871194,1.04308525331356,0.830991947717832
"Cameron Burgess","Ipswich Town","Premier League","2024-2025",28,"1","Standard Build-up Distributor",1.90267492137813,1.05889852754455,0.745963439897255,0.949086751030904
"Luca Caldirola","Monza","Serie A","2023-2024",32,"1","Standard Build-up Distributor",1.89599981214179,1.07562875510855,0.960976989076821,0.958469403192226
"Matteo Gabbia","Milan","Serie A","2024-2025",24,"1","Standard Build-up Distributor",1.88691717274193,1.33017870270843,0.556595484558735,0.764883381908947
"Saúl Coco","Torino","Serie A","2024-2025",25,"1","Standard Build-up Distributor",1.84731938195078,1.02547390576779,0.817737224267903,1.01680456001767
