"Player","Squad","League","Season","Age","cluster","role_profile","scouting_score","progression_index","padj_interceptions","padj_tackles"
"Woyo Coulibaly","Parma","Serie A","2024-2025",25,"4","Elite Progressive Distributor",3.36616037327176,2.15849057536322,0.940681086183396,1.37550518006704
"Nehuén Pérez","Udinese","Serie A","2023-2024",23,"3","High-Intensity Ball-Winner",3.36121790482013,1.48765518951121,1.32812896002373,2.06327111169184
"Reinildo Mandava","Atlético Madrid","La Liga","2024-2025",30,"3","High-Intensity Ball-Winner",3.35520387658312,1.61323891467029,1.42139881627728,1.73684030785443
"Berat Djimsiti","Atalanta","Serie A","2024-2025",31,"3","High-Intensity Ball-Winner",3.34424474330672,1.74914356960392,1.56771821343021,2.090366235711
"Yeray Álvarez","Athletic Club","La Liga","2024-2025",29,"3","High-Intensity Ball-Winner",3.3339682178838,2.17112220712112,1.58688925974226,1.41026990852872
"Lucas Beraldo","Paris S-G","Ligue 1","2024-2025",20,"1","Standard Build-up Distributor",3.29363346007699,2.21289363595667,0.922692930803359,1.52437824371612
"Lilian Brassier","Rennes","Ligue 1","2024-2025",24,"4","Elite Progressive Distributor",3.281769603802,2.37518706794802,1.3785364481311,1.25133535539585
"Mathias Jørgensen","Brentford","Premier League","2023-2024",33,"1","Standard Build-up Distributor",3.27511119757927,1.67541911035777,1.09521133134799,1.51789433525631
"Teden Mengi","Luton Town","Premier League","2023-2024",21,"2","Limited / Reactive Defender",3.26986051269548,0.98632968703964,1.92344423893384,1.95587167788312
"Micky Van De Ven","Tottenham","Premier League","2024-2025",23,"1","Standard Build-up Distributor",3.25660931441724,1.82079363523388,1.01578678757016,1.20120444789322
"Willy Boly","Nott'ham Forest","Premier League","2023-2024",32,"2","Limited / Reactive Defender",3.25394663890054,0.981435905252747,1.38866996962461,2.35800740870322
"Gerzino Nyamsi","Strasbourg","Ligue 1","2023-2024",26,"2","Limited / Reactive Defender",3.24946117262336,0.986812744539498,1.02280293271926,1.59932050946653
"Stanley N'Soki","Hoffenheim","Bundesliga","2024-2025",25,"3","High-Intensity Ball-Winner",3.24429509361726,1.5777062598584,1.45037018790619,1.45117971889276
"Alexsandro Ribeiro","Lille","Ligue 1","2024-2025",24,"4","Elite Progressive Distributor",3.22448870400915,2.37866003304518,0.816457686216602,1.00593331870416
"Nicolò Casale","Bologna","Serie A","2024-2025",26,"2","Limited / Reactive Defender",3.22370927288737,1.25418507719309,1.65130511564886,1.53112273261765
"Eric García","Girona","La Liga","2023-2024",22,"4","Elite Progressive Distributor",3.2091758100663,3.12667152412063,0.813559480705111,1.38714075345311
"Maxime Estève","Burnley","Premier League","2023-2024",21,"3","High-Intensity Ball-Winner",3.2005150499585,1.37186042704057,1.63587347656464,1.81092936391629
"John Brooks","Hoffenheim","Bundesliga","2023-2024",30,"2","Limited / Reactive Defender",3.19187950772082,1.42413198983341,1.34958309822874,1.52752033357017
"Koni De Winter","Genoa","Serie A","2024-2025",22,"2","Limited / Reactive Defender",3.18714758594508,1.06499323246885,1.23136836812019,1.63787146441683
"Mickael Nade","Saint-Étienne","Ligue 1","2024-2025",25,"3","High-Intensity Ball-Winner",3.18654079291259,1.30475317986922,1.28188673291506,2.15673061562758
"Malang Sarr","Lens","Ligue 1","2024-2025",25,"2","Limited / Reactive Defender",3.18423546337764,1.41737857947369,1.42922480837437,1.55731523432629
"Leny Yoro","Manchester Utd","Premier League","2024-2025",18,"3","High-Intensity Ball-Winner",3.17395526135798,1.88165063567074,1.30700255325226,1.98384394401063
"David García","Osasuna","La Liga","2023-2024",29,"1","Standard Build-up Distributor",3.17362793734069,2.08385806804558,0.822444714312785,1.240784097722
"Lukas Klostermann","RB Leipzig","Bundesliga","2024-2025",28,"3","High-Intensity Ball-Winner",3.15897922628931,1.71331557057948,1.35253315201291,1.61953578653395
"Emmanuel Agbadou","Wolves","Premier League","2024-2025",27,"2","Limited / Reactive Defender",3.15750638749513,0.973539039145304,0.977903104604942,1.90557141919974
"Johan Vásquez","Genoa","Serie A","2024-2025",25,"3","High-Intensity Ball-Winner",3.15661369166019,1.43707943546209,1.60405349120737,1.86737716472235
"Jonathan Gradit","Lens","Ligue 1","2024-2025",31,"3","High-Intensity Ball-Winner",3.15060251815344,2.19992836428276,1.18490373823993,1.93930572867748
"Jean-Charles Castelletto","Nantes","Ligue 1","2023-2024",28,"1","Standard Build-up Distributor",3.14611575181541,1.65832278168222,1.15311886791073,1.31137282911643
"Lucas Perrin","Strasbourg","Ligue 1","2023-2024",24,"1","Standard Build-up Distributor",3.13802858920392,1.58133727467596,1.04293260375008,1.65397624290051
"Mattia Viti","Empoli","Serie A","2024-2025",22,"3","High-Intensity Ball-Winner",3.13658899786086,1.33027375081888,1.66991814654491,2.26794598226304
"Chrislain Matsima","Augsburg","Bundesliga","2024-2025",22,"2","Limited / Reactive Defender",3.13547231040353,1.28442356146263,1.65217328184021,1.20598013057846
"Gleison Bremer","Juventus","Serie A","2023-2024",26,"2","Limited / Reactive Defender",3.13330534060054,1.31288005980051,1.08218848876027,1.54727660422232
"Andy Pelmard","Clermont Foot","Ligue 1","2023-2024",23,"1","Standard Build-up Distributor",3.12854796152177,1.71041069273275,0.975725410314214,1.46076435391499
"Fali","Cádiz","La Liga","2023-2024",29,"2","Limited / Reactive Defender",3.12544956331108,1.27922220723672,1.14138339124418,1.67770531896694
"Lewis Dunk","Brighton","Premier League","2024-2025",32,"4","Elite Progressive Distributor",3.12330941217241,2.4266658216068,0.764618427399513,1.01021494142397
"Ben Mee","Brentford","Premier League","2023-2024",33,"3","High-Intensity Ball-Winner",3.12208033286436,1.56151173430204,1.04597793513977,1.78140374864304
"Boubakar Kouyaté","Montpellier","Ligue 1","2023-2024",26,"2","Limited / Reactive Defender",3.120017280976,1.12532517336486,1.23505585186886,1.97727135487014
"Ozan Kabak","Hoffenheim","Bundesliga","2023-2024",23,"3","High-Intensity Ball-Winner",3.11238679851559,1.85408064516234,1.55101259217318,1.71684046454278
"Montassar Talbi","Lorient","Ligue 1","2023-2024",25,"1","Standard Build-up Distributor",3.11171056746705,1.54311669700917,1.24692430893881,1.53573325746548
"Kike Salas","Sevilla","La Liga","2023-2024",21,"3","High-Intensity Ball-Winner",3.11109830006878,1.48652628116342,1.27566034665092,1.93264591910368
"Fali Candé","Venezia","Serie A","2024-2025",26,"2","Limited / Reactive Defender",3.11026899587648,1.18391734177124,1.09562084769776,1.67896720210462
"Maxence Lacroix","Crystal Palace","Premier League","2024-2025",24,"2","Limited / Reactive Defender",3.10780434851392,0.850725049575466,1.69804058257494,2.1701212514262
"Luca Marianucci","Empoli","Serie A","2024-2025",20,"3","High-Intensity Ball-Winner",3.1038163890562,1.27232553755957,1.49698915258769,2.14879826869662
"Moïse Bombito","Nice","Ligue 1","2024-2025",24,"1","Standard Build-up Distributor",3.10332305153807,1.78657849141672,0.933529092782165,1.66672207110339
"Anthony Jung","Werder Bremen","Bundesliga","2024-2025",32,"4","Elite Progressive Distributor",3.09416303116068,2.29290020191583,1.1384254102978,1.54745842133036
"Toti Gomes","Wolves","Premier League","2024-2025",25,"3","High-Intensity Ball-Winner",3.09300187620128,1.44190657114944,1.0048795316094,2.1170655746915
"Cristhian Mosquera","Valencia","La Liga","2024-2025",20,"1","Standard Build-up Distributor",3.08365470866281,1.5143570064209,0.953515005398175,1.46870659224121
"Joël Schingtienne","Venezia","Serie A","2024-2025",21,"2","Limited / Reactive Defender",3.07603833998833,1.07190054012802,1.26413331918727,2.12115292847354
"Florian Lejeune","Rayo Vallecano","La Liga","2024-2025",33,"1","Standard Build-up Distributor",3.07132938845721,1.6415295438487,1.22572987707937,1.4351991102549
"Ilario Monterisi","Frosinone","Serie A","2023-2024",21,"2","Limited / Reactive Defender",3.06945712264892,1.21606716219643,0.829831299372319,1.64598499391488
"Manuel Akanji","Manchester City","Premier League","2024-2025",29,"4","Elite Progressive Distributor",3.06479265923825,3.09937763169814,0.525538768623873,0.883657187324224
"Yerson Mosquera","Villarreal","La Liga","2023-2024",22,"2","Limited / Reactive Defender",3.06101289058148,1.24995625356308,1.13733839070444,1.70472316302498
