Player,Squad,League,Pos,Age,Min,PrgP,PrgC,KP,Cmp%,Tkl,Int,Recov,Crs
Manuel Neuer,Bayern Munich,Bundesliga,GK,38,1980,10,0,1,86,1,0,54,0
Mats Hummels,Roma,Serie A,DF,35,915,26,4,2,89,30,26,41,2
Dante,Nice,Ligue 1,DF,40,1964,96,18,4,88.5,32,34,112,2
Kevin Vogt,Union Berlin,Bundesliga,DF,32,1367,70,11,2,88.1,12,9,90,0
Pascal Groß,Dortmund,Bundesliga,"MF,DF",33,2327,178,41,57,80.7,44,9,96,174
Thomas Müller,Bayern Munich,Bundesliga,"MF,FW",34,1225,50,24,35,75,8,2,24,46
Lewis Holtby,Holstein Kiel,Bundesliga,MF,33,1238,47,14,21,76.5,34,21,72,46
Mario Götze,Eint Frankfurt,Bundesliga,"MF,FW",32,1542,88,29,34,77.5,41,7,104,39
Oliver Baumann,Hoffenheim,Bundesliga,GK,34,2520,1,0,3,69.1,2,0,53,0
İlkay Gündoğan,Manchester City,Premier League,MF,33,2223,127,64,44,89.5,25,13,116,60
Jannik Vestergaard,Leicester City,Premier League,DF,31,1391,32,3,3,90.7,22,16,46,0
Kevin Trapp,Eint Frankfurt,Bundesliga,GK,34,2295,1,0,0,73.2,0,0,52,0
Robert Lewandowski,Barcelona,La Liga,FW,35,2667,48,27,19,73.4,10,3,45,5
Son Heung-Min,Tottenham,Premier League,FW,32,2110,111,96,50,78.9,17,5,85,78
Antonio Rüdiger,Real Madrid,La Liga,DF,31,2291,94,20,7,91.8,20,9,102,4
Bernd Leno,Fulham,Premier League,GK,32,3420,0,0,2,81.8,2,0,50,0
Danny Da Costa,Mainz 05,Bundesliga,DF,31,2006,109,21,10,78.4,42,27,98,22
Dominik Kohr,Mainz 05,Bundesliga,"DF,MF",30,2295,101,26,11,81.1,62,42,99,16
Joshua King,Toulouse,Ligue 1,"FW,MF",32,1673,29,39,17,70.7,11,6,60,9
Matthias Ginter,Freiburg,Bundesliga,DF,30,2561,113,11,9,82.6,30,19,93,13
Maximilian Arnold,Wolfsburg,Bundesliga,MF,30,2356,128,9,45,77.2,34,24,154,152
Mitchell Weiser,Werder Bremen,Bundesliga,"DF,MF",30,2868,125,65,42,73.9,61,22,152,78
Ricardo Rodríguez,Betis,La Liga,DF,31,1274,63,19,7,82,28,8,55,15
Willi Orban,RB Leipzig,Bundesliga,DF,31,2222,106,15,8,87.4,38,21,122,5
Christian Günter,Freiburg,Bundesliga,DF,31,2314,52,19,28,74.5,23,8,61,121
Emre Can,Dortmund,Bundesliga,"DF,MF",30,2105,116,20,8,89.5,50,20,113,11
Granit Xhaka,Leverkusen,Bundesliga,MF,31,2888,318,42,50,89.7,48,12,179,30
Kevin De Bruyne,Manchester City,Premier League,"MF,FW",33,1702,157,51,57,75.9,17,7,64,145
Leonardo Bittencourt,Werder Bremen,Bundesliga,MF,30,982,64,19,14,84,25,15,44,22
Marc-Oliver Kempf,Como,Serie A,DF,29,2615,85,17,10,87.2,30,33,106,4
Milan Badelj,Genoa,Serie A,MF,35,1472,83,8,12,81.5,29,20,74,5
Niklas Stark,Werder Bremen,Bundesliga,DF,29,2106,62,7,1,85.6,33,36,73,3
Niklas Süle,Dortmund,Bundesliga,DF,28,1053,47,15,3,92.8,14,4,53,1
Pierre Højbjerg,Marseille,Ligue 1,MF,28,2664,263,36,43,92.4,64,42,171,19
Sead Kolašinac,Atalanta,Serie A,DF,31,1903,142,52,17,87.5,41,25,135,10
Stefan Bell,Mainz 05,Bundesliga,DF,32,1436,38,8,5,78.6,22,28,65,0
Vincenzo Grifo,Freiburg,Bundesliga,"FW,MF",31,2432,128,58,66,76.7,30,9,134,155
Hakan Çalhanoğlu,Inter,Serie A,MF,30,1947,173,52,49,86.6,43,18,110,122
Henrikh Mkhitaryan,Inter,Serie A,MF,35,2396,199,72,29,87.4,43,17,131,24
Jonathan Tah,Leverkusen,Bundesliga,DF,28,2970,169,15,4,92.9,19,36,165,6
José Campaña,Las Palmas,La Liga,MF,31,1189,87,11,14,84.3,21,19,84,34
Julian Brandt,Dortmund,Bundesliga,MF,28,2303,149,61,61,78.8,26,14,119,71
Leon Goretzka,Bayern Munich,Bundesliga,"MF,DF",29,1325,127,35,12,89.9,21,20,77,5
Leroy Sané,Bayern Munich,Bundesliga,FW,28,1637,64,75,36,82.5,23,7,82,51
Marvin Ducksch,Werder Bremen,Bundesliga,FW,30,2418,86,26,61,61.7,10,8,65,167
Rani Khedira,Union Berlin,Bundesliga,MF,30,2723,80,12,12,73.7,68,44,108,22
Alexander Nübel,Stuttgart,Bundesliga,GK,27,3060,0,0,3,77,0,0,72,0
Janik Haberer,Union Berlin,Bundesliga,"MF,DF",30,1696,59,13,7,77,39,17,83,15
Kevin Kampl,RB Leipzig,Bundesliga,MF,33,1593,106,21,16,89,27,24,100,29
Marnon Busch,Heidenheim,Bundesliga,"DF,MF",29,1396,63,22,12,72.7,26,13,62,52
Marvin Friedrich,Gladbach,Bundesliga,DF,28,989,36,11,3,88.4,15,5,42,0
Matija Nastasić,Leganés,La Liga,DF,31,2110,59,1,2,82.6,25,21,50,0
Maximilian Eggestein,Freiburg,Bundesliga,MF,27,2845,141,34,19,83.5,57,39,154,9
Maximilian Mittelstädt,Stuttgart,Bundesliga,DF,27,2469,182,62,47,83.4,79,47,119,164
Michael Zetterer,Werder Bremen,Bundesliga,GK,29,3060,3,0,0,78.2,0,1,42,0
Nadiem Amiri,Mainz 05,Bundesliga,MF,27,2473,204,50,63,77,50,16,207,166
Oriol Romeu,Girona,La Liga,MF,32,1356,73,22,8,90.4,38,12,71,8
Patrick Drewes,Bochum,Bundesliga,GK,31,1890,0,0,0,65.7,0,0,36,0
Pepe Reina,Como,Serie A,GK,41,1034,0,0,0,76.4,0,0,11,0
Robin Zentner,Mainz 05,Bundesliga,GK,29,2880,2,0,3,62.9,2,0,56,0
Thilo Kehrer,Monaco,Ligue 1,DF,27,2383,139,16,5,89.9,37,36,132,2
Timo Horn,Bochum,Bundesliga,GK,31,1170,1,0,1,56.9,0,0,25,0
Yann Sommer,Inter,Serie A,GK,35,2970,1,0,0,87.6,0,0,46,0
Yannick Gerhardt,Wolfsburg,Bundesliga,"MF,DF",30,1518,57,27,4,76.9,28,17,49,24
Andrej Kramarić,Hoffenheim,Bundesliga,"MF,FW",33,2767,143,75,49,77.7,15,7,136,116
Benjamin Henrichs,RB Leipzig,Bundesliga,DF,27,935,29,9,11,75.6,32,15,60,19
Christian Pulisic,Milan,Serie A,"FW,MF",25,2478,105,121,69,76.5,43,5,94,119
Djibril Sow,Sevilla,La Liga,MF,27,2062,100,23,21,88.8,25,28,110,9
Fabian Schär,Newcastle Utd,Premier League,DF,32,2934,118,18,5,83.7,36,45,134,13
Felix Passlack,Bochum,Bundesliga,"DF,MF",26,2334,65,43,25,66.2,53,18,114,113
Finn Porath,Holstein Kiel,Bundesliga,"DF,MF",27,1970,58,42,22,66.9,45,21,79,84
Jeffrey Gouweleeuw,Augsburg,Bundesliga,DF,33,2944,142,24,14,82.6,50,35,141,17
Joelinton,Newcastle Utd,Premier League,"MF,FW",27,2393,116,40,23,82.7,57,23,149,16
Joshua Kimmich,Bayern Munich,Bundesliga,MF,29,2847,362,51,83,89.5,47,25,190,176
Julian Weigl,Gladbach,Bundesliga,MF,28,2881,122,11,11,88.3,53,48,133,11
Kingsley Coman,Bayern Munich,Bundesliga,FW,28,1282,45,66,32,84.3,17,8,59,45
Lukáš Hrádecký,Leverkusen,Bundesliga,GK,34,2610,0,0,0,75.3,0,0,70,0
Marius Wolf,Augsburg,Bundesliga,DF,29,2144,117,36,45,68.5,27,24,82,115
Miloš Veljković,Werder Bremen,Bundesliga,DF,28,1029,64,9,3,86.7,10,2,32,9
Nico Elvedi,Gladbach,Bundesliga,DF,27,2135,55,20,5,92,38,30,89,1
Pavel Kadeřábek,Hoffenheim,Bundesliga,DF,32,1576,47,15,21,70.1,25,20,25,74
Suat Serdar,Hellas Verona,Serie A,MF,27,1376,56,18,10,74.8,35,8,74,9
Ulisses Garcia,Marseille,Ligue 1,DF,28,930,53,23,8,84.7,14,8,48,35
Waldemar Anton,Dortmund,Bundesliga,DF,28,1949,117,32,6,90.4,34,30,122,24
Ørjan Nyland,Sevilla,La Liga,GK,33,2673,1,0,4,63.3,3,0,28,0
Alexander Isak,Newcastle Utd,Premier League,FW,24,2756,88,83,41,75.3,12,3,55,16
Anthony Jung,Werder Bremen,Bundesliga,DF,32,1898,121,20,2,89.6,34,25,81,4
Arne Maier,Augsburg,Bundesliga,MF,25,938,44,19,25,76.5,13,6,72,67
Bernardo,Bochum,Bundesliga,DF,29,1782,100,14,4,73.7,46,26,83,14
Borja Mayoral,Getafe,La Liga,FW,27,1114,13,10,8,77.6,5,2,36,9
Breel Embolo,Monaco,Ligue 1,"FW,MF",27,1841,55,22,32,69.2,22,3,58,6
Dayot Upamecano,Bayern Munich,Bundesliga,DF,25,1759,137,17,7,93.9,36,34,115,6
Gerrit Holtmann,Bochum,Bundesliga,"DF,FW",29,1136,33,50,20,65.7,24,16,49,91
Gregor Kobel,Dortmund,Bundesliga,GK,26,2880,1,0,1,80,0,1,61,0
Hauke Wahl,St Pauli,Bundesliga,DF,30,2970,142,30,9,86.6,36,31,129,8
Joel Pohjanpalo,Venezia,Serie A,FW,29,1603,29,9,15,60.3,3,4,20,3
Johannes Eggestein,St Pauli,Bundesliga,FW,26,1853,43,25,24,73.9,5,0,58,35
Jonas Föhrenbach,Heidenheim,Bundesliga,DF,28,1832,59,36,14,72.5,45,16,67,59
Kai Havertz,Arsenal,Premier League,"FW,MF",25,1875,61,35,17,78.4,16,6,41,11
Kevin Danso,Lens,Ligue 1,DF,25,1080,52,9,6,85.6,19,20,59,0
Leon Bailey,Aston Villa,Premier League,"FW,MF",26,1139,35,58,16,71,7,3,59,34
Lukas Klostermann,RB Leipzig,Bundesliga,DF,28,1838,83,16,2,88.4,27,24,74,11
Lukas Kübler,Freiburg,Bundesliga,DF,31,1842,78,24,11,77.1,40,53,73,30
Marc Bartra,Betis,La Liga,DF,33,2099,68,7,4,81.3,33,33,88,1
Marcel Sabitzer,Dortmund,Bundesliga,MF,30,1616,97,24,12,84.8,29,10,58,23
Marco Friedl,Werder Bremen,Bundesliga,DF,26,2161,69,4,3,90.2,62,34,141,2
Mikel Merino,Arsenal,Premier League,"MF,FW",28,1586,69,11,17,78.2,46,15,86,13
Oliver Burke,Werder Bremen,Bundesliga,FW,27,908,15,22,14,59.9,11,2,26,20
Omar Mascarell,Mallorca,La Liga,MF,31,1992,75,10,3,84,27,49,90,5
Ondrej Duda,Hellas Verona,Serie A,MF,29,2395,117,23,32,78.3,46,31,188,89
Ousmane Dembélé,Paris S-G,Ligue 1,FW,27,1730,137,127,63,79,11,9,39,80
Péter Gulácsi,RB Leipzig,Bundesliga,GK,34,2631,0,0,0,82.1,1,0,41,0
Raphaël Guerreiro,Bayern Munich,Bundesliga,"DF,MF",30,1572,85,39,27,88.7,19,10,94,27
Serge Gnabry,Bayern Munich,Bundesliga,"FW,MF",29,1242,48,44,24,83.4,20,6,47,22
Serhou Guirassy,Dortmund,Bundesliga,FW,28,2598,43,25,25,72.7,7,4,45,1
Vincent Sierro,Toulouse,Ligue 1,MF,28,2402,147,15,30,78.4,44,16,125,64
Weston Mckennie,Juventus,Serie A,"MF,DF",25,2310,101,28,32,83.1,33,14,104,19
Ademola Lookman,Atalanta,Serie A,"MF,FW",26,2247,73,142,61,72.5,32,3,69,124
Benjamin Pavard,Inter,Serie A,DF,28,1584,92,13,8,91.3,29,16,46,11
Chris Führich,Stuttgart,Bundesliga,"MF,FW",26,1981,95,114,32,80.5,15,6,64,82
Corentin Tolisso,Lyon,Ligue 1,MF,29,2329,166,31,31,84.8,57,22,128,32
Daichi Kamada,Crystal Palace,Premier League,MF,27,1564,89,25,20,80.2,47,18,89,31
Denis Zakaria,Monaco,Ligue 1,MF,27,2144,113,27,16,90.4,41,34,165,7
Elvis Rexhbeçaj,Augsburg,Bundesliga,MF,26,1785,94,31,16,70,27,16,85,71
Finn Dahmen,Augsburg,Bundesliga,GK,26,1710,3,0,0,69.4,1,0,33,0
Ibrahima Konaté,Liverpool,Premier League,DF,25,2560,115,25,10,90.2,40,17,98,0
Jadon Sancho,Chelsea,Premier League,FW,24,1764,90,102,38,82.6,13,2,99,25
Josha Vagnoman,Stuttgart,Bundesliga,"DF,MF",23,1834,47,24,22,80.4,26,14,92,43
Kevin Akpoguma,Hoffenheim,Bundesliga,DF,29,2220,98,14,7,87.1,54,29,107,12
Konrad Laimer,Bayern Munich,Bundesliga,DF,27,1699,141,87,20,87.8,49,8,81,21
Lucas Höler,Freiburg,Bundesliga,"FW,MF",30,1867,47,21,22,65.5,37,7,68,14
Manuel Akanji,Manchester City,Premier League,DF,29,2014,158,46,9,93.6,19,9,103,11
Moritz Nicolas,Gladbach,Bundesliga,GK,26,1639,0,0,0,84.3,0,1,23,0
Niklas Dorsch,Heidenheim,Bundesliga,MF,26,1335,57,13,13,83.4,27,17,74,37
Orel Mangala,Everton,Premier League,MF,26,1261,34,6,8,89.2,16,21,49,6
Philipp Lienhart,Freiburg,Bundesliga,DF,28,2770,138,44,6,86.2,22,36,113,9
Ridle Baku,RB Leipzig,Bundesliga,"DF,MF",26,1275,41,21,14,75.2,24,9,45,34
Ridle Baku,Wolfsburg,Bundesliga,"FW,MF",26,1170,44,16,13,74.1,23,15,68,37
Robin Hack,Gladbach,Bundesliga,"FW,MF",25,2172,95,51,32,76.2,22,9,123,61
Robin Koch,Eint Frankfurt,Bundesliga,DF,28,2586,93,9,7,90.7,24,25,112,1
Sergio Gómez,Real Sociedad,La Liga,"MF,DF",23,2738,93,43,56,74.8,71,19,146,231
Takuma Asano,Mallorca,La Liga,"FW,MF",29,1054,20,28,6,67.6,13,6,42,20
Tim Kleindienst,Gladbach,Bundesliga,FW,28,2737,63,45,29,60.9,30,12,74,16
Valentino Lazaro,Torino,Serie A,"DF,FW",28,2307,76,35,33,75.1,26,11,94,145
Yann Aurel Bisseck,Inter,Serie A,DF,23,1643,93,32,7,91.8,17,17,66,8
Aarón Martín,Genoa,Serie A,DF,27,3085,90,50,65,72.5,71,19,146,256
Achraf Hakimi,Paris S-G,Ligue 1,DF,25,2066,183,93,50,88.7,48,31,136,80
Alassane Pléa,Gladbach,Bundesliga,"MF,FW",31,1902,116,51,25,72.1,7,2,66,45
Alphonso Davies,Bayern Munich,Bundesliga,DF,23,1560,120,81,27,89.7,30,13,115,22
Amadou Haidara,RB Leipzig,Bundesliga,MF,26,1320,65,7,5,80.2,30,18,88,12
Amos Pieper,Werder Bremen,Bundesliga,DF,26,1498,62,11,4,84.8,32,24,56,4
Borna Sosa,Torino,Serie A,DF,26,1181,51,13,11,79.6,26,14,53,51
Christoph Baumgartner,RB Leipzig,Bundesliga,MF,24,1610,53,37,20,68.2,44,12,86,14
Dodi Lukebakio,Sevilla,La Liga,FW,26,3092,93,131,54,74.1,22,11,120,124
Emile Smith Rowe,Fulham,Premier League,MF,24,2043,126,53,24,90.1,31,11,75,16
Frederik Rønnow,Union Berlin,Bundesliga,GK,31,2520,1,0,0,68.6,0,0,32,0
Jean-Philippe Mateta,Crystal Palace,Premier League,FW,27,2648,52,45,29,65.1,18,2,68,26
Jeong Woo-Yeong,Union Berlin,Bundesliga,"MF,FW",24,1263,63,32,18,75.3,10,11,68,36
John Yeboah,Venezia,Serie A,"FW,MF",24,1226,42,50,20,72.9,6,4,45,26
Jonathan Burkardt,Mainz 05,Bundesliga,FW,24,2109,42,32,20,72.5,15,1,73,27
Keven Schlotterbeck,Augsburg,Bundesliga,DF,27,1297,59,3,7,84.5,19,15,55,3
Kevin Stöger,Gladbach,Bundesliga,MF,30,1551,121,40,54,75.8,37,16,75,116
Leonardo Balerdi,Marseille,Ligue 1,DF,25,2273,105,13,8,93.8,54,38,161,2
Lucas Torró,Osasuna,La Liga,MF,30,2957,109,10,10,75.3,74,45,172,1
Mark Flekken,Brentford,Premier League,GK,31,3275,0,0,3,73,4,0,39,0
Matheus Cunha,Wolves,Premier League,"MF,FW",25,2597,144,112,56,71.6,38,17,125,142
Moussa Niakhate,Lyon,Ligue 1,DF,28,2726,111,34,7,90.3,47,25,119,5
Nico Schlotterbeck,Dortmund,Bundesliga,DF,24,1982,195,37,18,89.2,38,22,157,14
Nicolás González,Juventus,Serie A,"FW,MF",26,1750,69,35,19,76,24,9,69,15
Obite N'Dicka,Roma,Serie A,DF,24,3420,107,29,8,92.1,32,33,134,0
Pablo Maffeo,Mallorca,La Liga,DF,27,2368,74,46,29,70.8,60,25,107,96
Phillipp Mwene,Mainz 05,Bundesliga,DF,30,2607,106,62,22,75,51,24,110,85
Steven Skrzybski,Holstein Kiel,Bundesliga,"MF,FW",31,1323,64,17,22,70,19,11,58,31
Tuta,Eint Frankfurt,Bundesliga,"DF,MF",25,2274,78,11,4,87.7,44,40,120,3
Tyler Adams,Bournemouth,Premier League,MF,25,1965,76,14,18,84.4,83,32,114,3
Angeliño,Roma,Serie A,DF,27,3177,172,66,50,78.4,46,28,101,116
Chris Richards,Crystal Palace,Premier League,DF,24,1922,39,6,2,79.8,47,19,51,5
Christopher Nkunku,Chelsea,Premier League,FW,26,921,25,17,14,89.5,12,7,29,4
Christopher Trimmel,Union Berlin,Bundesliga,"DF,MF",37,1740,73,18,35,60.5,38,18,63,111
Dani Olmo,Barcelona,La Liga,"MF,FW",26,1212,81,33,26,81.1,16,3,46,21
Edimilson Fernandes,Brest,Ligue 1,"MF,DF",28,1105,40,7,8,85,9,20,69,7
Edmond Tapsoba,Leverkusen,Bundesliga,DF,25,2507,164,52,4,86.4,39,24,124,8
Ellyes Skhiri,Eint Frankfurt,Bundesliga,MF,29,2231,105,17,22,88.5,40,31,105,3
Erling Haaland,Manchester City,Premier League,FW,24,2736,20,24,29,66.9,11,5,34,3
Exequiel Palacios,Leverkusen,Bundesliga,MF,25,1155,97,15,28,90.1,22,13,76,4
Florian Wirtz,Leverkusen,Bundesliga,"MF,FW",21,2351,176,131,57,78.3,32,10,113,101
Jamal Musiala,Bayern Munich,Bundesliga,MF,21,1798,107,71,41,82.6,36,8,75,8
Jean-Clair Todibo,West Ham,Premier League,DF,24,1825,38,9,2,87.9,47,26,79,3
Joshua Zirkzee,Manchester Utd,Premier League,"FW,MF",23,1402,44,14,12,71.2,14,6,57,4
Juan Miranda,Bologna,Serie A,DF,24,2277,163,34,57,75.7,32,23,97,211
Julian Ryerson,Dortmund,Bundesliga,DF,26,2259,92,66,36,85.3,46,22,120,110
Kingsley Ehizibue,Udinese,Serie A,DF,29,2498,55,54,22,76.7,55,23,110,61
Lazar Samardzic,Atalanta,Serie A,MF,22,1169,92,54,35,77.9,21,2,50,60
Luca Netz,Gladbach,Bundesliga,DF,21,969,28,16,16,81.1,24,10,42,16
Maduka Okoye,Udinese,Serie A,GK,24,2250,1,0,0,77.6,0,0,51,0
Malick Thiaw,Milan,Serie A,DF,22,1806,89,12,4,93.1,24,15,65,3
Marcus Thuram,Inter,Serie A,FW,26,2290,53,62,39,73.7,18,3,71,13
Marin Pongračić,Fiorentina,Serie A,DF,26,1367,34,7,5,89.2,18,12,73,1
Marius Bülter,Hoffenheim,Bundesliga,"FW,DF",31,1729,35,57,22,67.2,13,4,63,84
Maximilian Beier,Dortmund,Bundesliga,"FW,MF",21,1591,33,24,24,70.5,25,7,49,16
Nick Woltemade,Stuttgart,Bundesliga,"FW,MF",22,1622,52,31,37,70.6,10,1,53,6
Omar Marmoush,Eint Frankfurt,Bundesliga,FW,25,1448,50,73,34,69.8,12,2,51,78
Omar Marmoush,Manchester City,Premier League,"FW,MF",25,1175,37,29,15,79.2,13,6,37,28
Patrik Schick,Leverkusen,Bundesliga,FW,28,1684,21,7,11,78,6,4,29,1
Ramy Bensebaini,Dortmund,Bundesliga,DF,29,2022,128,26,15,86.1,51,33,100,36
Robert Andrich,Leverkusen,Bundesliga,"MF,DF",29,1598,65,8,9,88.4,24,29,73,12
Sheraldo Becker,Real Sociedad,La Liga,"FW,MF",29,995,23,51,8,63.9,3,1,30,64
Timo Becker,Holstein Kiel,Bundesliga,DF,27,2445,57,28,6,77.4,53,17,98,22
Tom Krauß,Bochum,Bundesliga,MF,23,1077,84,16,12,80,35,11,78,10
Alexander Sørloth,Atlético Madrid,La Liga,FW,28,1566,31,32,13,63.8,9,1,41,5
Ansgar Knauff,Eint Frankfurt,Bundesliga,"MF,DF",22,1597,58,53,27,66.7,41,12,76,32
Atakan Karazor,Stuttgart,Bundesliga,MF,27,2618,140,19,15,86.6,59,32,171,4
Baptiste Santamaria,Nice,Ligue 1,MF,29,927,45,10,9,82.6,20,18,49,3
Carlo Boukhalfa,St Pauli,Bundesliga,MF,25,1646,41,10,11,71.3,26,12,60,10
Eren Dinkçi,Freiburg,Bundesliga,"MF,FW",22,1196,35,33,23,75.4,21,7,55,15
Ermedin Demirović,Stuttgart,Bundesliga,FW,26,1855,31,20,18,70.3,12,3,33,3
Felix Agu,Werder Bremen,Bundesliga,DF,24,1751,43,33,20,79.7,30,21,67,49
Georginio Rutter,Brighton,Premier League,"MF,FW",22,1656,67,42,19,66.8,39,10,66,9
Jeremie Frimpong,Leverkusen,Bundesliga,"DF,MF",23,2314,55,100,30,76.1,33,8,84,116
Jude Bellingham,Real Madrid,La Liga,MF,21,2488,199,74,42,86.1,61,28,97,18
Justin Kluivert,Bournemouth,Premier League,MF,25,2340,105,81,45,74.4,23,14,78,85
Kevin Schade,Brentford,Premier League,FW,22,2293,38,61,23,59.7,39,5,83,38
Konstantinos Mavropanos,West Ham,Premier League,DF,26,2045,61,17,5,86.3,35,40,77,2
Marc Roca,Betis,La Liga,MF,27,906,59,11,12,86.4,20,14,51,10
Mattéo Guendouzi,Lazio,Serie A,MF,25,3270,316,89,43,89.8,37,32,173,21
Max Geschwill,Holstein Kiel,Bundesliga,DF,23,1282,58,6,10,74.3,26,30,53,10
Maxence Lacroix,Crystal Palace,Premier League,DF,24,3116,65,8,8,81.7,68,54,130,7
Omar Alderete,Getafe,La Liga,DF,27,2971,112,25,11,65.5,43,40,115,6
Paul Nebel,Mainz 05,Bundesliga,MF,21,2345,91,67,35,73.1,38,13,124,111
Ritsu Doan,Freiburg,Bundesliga,"FW,MF",26,2862,130,64,27,71.8,66,14,133,80
Rocco Reitz,Gladbach,Bundesliga,MF,22,1830,91,18,16,77.9,52,53,94,22
Romano Schmid,Werder Bremen,Bundesliga,MF,24,2834,279,107,68,74.5,43,11,167,145
Stefan Ortega,Manchester City,Premier League,GK,31,1100,0,0,0,81.3,0,0,8,0
Tanguy Coulibaly,Montpellier,Ligue 1,"FW,MF",23,1485,20,48,18,78.5,32,11,70,21
Thomas Meunier,Lille,Ligue 1,DF,32,1928,136,64,13,80.4,53,34,88,62
Tim Siersleben,Heidenheim,Bundesliga,DF,24,1182,31,8,6,80.8,21,20,37,10
András Schäfer,Union Berlin,Bundesliga,MF,25,1534,55,23,10,73.5,52,22,72,17
Angelo Stiller,Stuttgart,Bundesliga,MF,23,2741,289,39,59,87.4,49,26,140,95
Anthony Losilla,Bochum,Bundesliga,MF,38,1137,45,3,7,76.6,30,18,45,4
Anton Stach,Hoffenheim,Bundesliga,"MF,DF",25,2585,152,33,26,82.6,66,46,171,24
David Nemeth,St Pauli,Bundesliga,DF,23,2137,65,14,3,86.4,43,18,87,7
David Raum,RB Leipzig,Bundesliga,DF,26,1783,71,36,48,69.4,38,9,92,188
Dominik Szoboszlai,Liverpool,Premier League,MF,23,2491,131,72,56,84.3,38,9,133,41
Enzo Millot,Stuttgart,Bundesliga,"MF,FW",22,1843,118,44,23,84.8,30,13,99,41
Erhan Mašović,Bochum,Bundesliga,DF,25,910,35,1,3,82.7,14,12,32,0
Felix Nmecha,Dortmund,Bundesliga,MF,23,1509,85,21,14,87.9,34,23,85,6
Ilaix Moriba,Celta Vigo,La Liga,MF,21,2132,119,34,20,85.7,68,14,108,6
Jamie Gittens,Dortmund,Bundesliga,"FW,MF",19,1776,42,113,21,76.5,31,10,63,49
Jamie Leweling,Stuttgart,Bundesliga,"MF,FW",23,1663,51,55,25,70.5,16,11,73,58
Jesper Lindstrøm,Everton,Premier League,FW,24,1239,25,30,19,69.4,45,12,70,71
Joe Scally,Gladbach,Bundesliga,DF,21,2578,68,52,11,83.4,45,16,97,50
Jonas Wind,Wolfsburg,Bundesliga,"FW,MF",25,1966,100,17,34,70.6,10,6,59,7
Joško Gvardiol,Manchester City,Premier League,DF,22,3277,264,91,26,90.2,58,44,137,22
Julian Chabot,Stuttgart,Bundesliga,DF,26,2269,108,7,6,89.9,37,38,98,2
Jurgen Ekkelenkamp,Udinese,Serie A,MF,24,1892,72,34,15,79.7,36,12,82,12
Justin Njinmah,Werder Bremen,Bundesliga,"FW,MF",23,952,23,33,12,61.7,6,3,20,19
Kristijan Jakić,Augsburg,Bundesliga,MF,27,2306,106,24,16,82.9,46,28,133,13
Lee Jae-Sung,Mainz 05,Bundesliga,MF,31,2650,105,28,34,77.5,42,35,119,31
Manu Koné,Roma,Serie A,MF,23,2572,144,70,19,91.1,41,24,131,2
Micky Van De Ven,Tottenham,Premier League,DF,23,1015,51,8,2,90.9,10,10,63,0
Mitchel Bakker,Lille,Ligue 1,"FW,DF",24,1139,57,43,23,77.8,23,12,46,68
Noah Atubolu,Freiburg,Bundesliga,GK,22,2307,2,0,0,74.5,0,0,53,0
Noah Weißhaupt,St Pauli,Bundesliga,"FW,MF",22,1160,33,42,18,62.3,6,2,51,72
Odilon Kossounou,Atalanta,Serie A,DF,23,1125,46,13,1,88.2,16,13,62,3
Patrick Osterhage,Freiburg,Bundesliga,MF,24,2267,73,26,16,83.7,45,18,106,20
Patrick Wimmer,Wolfsburg,Bundesliga,"MF,FW",23,1770,91,46,24,65.7,47,32,92,42
Paul Wanner,Heidenheim,Bundesliga,"MF,FW",18,1771,64,28,20,73.1,40,4,90,52
Piero Hincapié,Leverkusen,Bundesliga,DF,22,2670,152,52,16,87.9,52,32,105,37
Tiago Tomás,Wolfsburg,Bundesliga,"FW,MF",22,1884,50,31,20,69.3,33,9,74,22
Tom Bischof,Hoffenheim,Bundesliga,"MF,FW",19,2559,138,47,50,78.7,95,30,156,145
Tom Rothe,Union Berlin,Bundesliga,"DF,MF",19,1670,50,25,12,68.1,45,18,77,46
Yannik Engelhardt,Como,Serie A,"MF,DF",23,1164,54,18,12,88.7,30,11,62,1
Adam Hložek,Hoffenheim,Bundesliga,"FW,MF",22,1871,68,54,20,68.5,22,4,66,20
Aleksandar Pavlovic,Bayern Munich,Bundesliga,MF,20,1451,128,15,7,93.3,38,5,72,5
Alex Král,Espanyol,La Liga,MF,26,2714,78,49,12,71.9,55,28,127,38
Aljoscha Kemlein,Union Berlin,Bundesliga,MF,19,922,42,5,10,75.5,10,6,58,5
Andreas Hanche-Olsen,Mainz 05,Bundesliga,DF,27,1284,34,2,3,82.6,21,12,44,1
Angelo Fulgini,Lens,Ligue 1,"MF,FW",27,1045,69,29,28,78.1,14,2,52,44
Anthony Caci,Mainz 05,Bundesliga,DF,27,2684,133,45,50,71.8,60,27,131,133
Aurélio Buta,Reims,Ligue 1,DF,27,1970,83,28,10,82.6,37,22,69,32
Callum Hudson-Odoi,Nott'ham Forest,Premier League,"FW,MF",23,2194,71,130,44,82,22,13,92,79
Chidera Ejuke,Sevilla,La Liga,FW,26,966,38,75,21,81.6,19,5,63,22
Daley Blind,Girona,La Liga,DF,34,2780,272,71,19,88.8,49,32,116,42
Danilho Doekhi,Union Berlin,Bundesliga,DF,26,3060,96,13,13,78.3,37,44,97,10
Diogo Leite,Union Berlin,Bundesliga,DF,25,2546,116,20,13,78.6,64,57,104,10
