Player,Squad,League,Pos,Age,Min,PrgP,PrgC,KP,Cmp%,Tkl,Int,Recov,Crs
Scott Mctominay,Napoli,Serie A,MF,27,2938,112,56,26,84.1,43,24,143,11
Tosin Adarabioyo,Chelsea,Premier League,DF,26,1409,42,5,1,91.1,17,11,41,0
Trent Alexander-Arnold,Liverpool,Premier League,DF,25,2365,232,51,52,73.5,72,31,132,153
Wilfred Ndidi,Leicester City,Premier League,MF,27,2324,70,18,17,80.3,85,31,127,30
Ben Johnson,Ipswich Town,Premier League,"DF,FW",24,1354,27,16,12,71.6,38,13,57,37
Curtis Jones,Liverpool,Premier League,"MF,DF",23,1712,117,30,22,93.1,39,7,97,8
Davide Zappacosta,Atalanta,Serie A,DF,32,2067,107,67,23,82.7,26,11,89,95
Eddie Nketiah,Crystal Palace,Premier League,"FW,MF",25,1034,19,41,13,74.3,15,3,26,5
Ederson,Manchester City,Premier League,GK,30,2320,2,0,4,87.9,0,1,42,0
Harvey Barnes,Newcastle Utd,Premier League,FW,26,1755,83,93,26,78.1,16,6,55,47
Jacob Murphy,Newcastle Utd,Premier League,FW,29,2360,83,79,42,68.5,28,13,98,120
Jan Bednarek,Southampton,Premier League,DF,28,2531,60,5,5,92.7,36,56,106,1
Joe Willock,Newcastle Utd,Premier League,"MF,FW",24,1086,41,38,22,82.6,30,6,40,18
Lewis Dunk,Brighton,Premier League,DF,32,2083,142,20,6,91,17,13,104,5
Martin Dúbravka,Newcastle Utd,Premier League,GK,35,900,0,0,0,79.6,0,0,18,0
Nikola Vlašić,Torino,Serie A,"MF,FW",26,2117,94,53,32,79.8,37,9,93,26
Phil Foden,Manchester City,Premier League,"MF,FW",24,1777,103,50,43,84.1,13,9,61,80
Will Hughes,Crystal Palace,Premier League,MF,29,2108,87,20,33,76,66,22,121,71
Adam Masina,Torino,Serie A,DF,30,1919,73,15,4,84.1,33,27,88,14
Alisson,Liverpool,Premier League,GK,31,2508,1,0,1,82.8,1,0,47,0
Arijanet Muric,Ipswich Town,Premier League,GK,25,1620,1,0,0,71.7,0,0,26,0
Ben White,Arsenal,Premier League,DF,26,1198,59,23,10,83.8,20,16,37,17
Bukayo Saka,Arsenal,Premier League,"FW,MF",22,1729,70,96,58,75.5,29,3,70,117
David Brooks,Bournemouth,Premier League,"FW,MF",27,960,35,35,20,75.4,14,5,50,52
Diogo Dalot,Manchester Utd,Premier League,DF,25,2814,103,62,26,80.5,68,37,167,66
Diogo Jota,Liverpool,Premier League,FW,27,1196,34,37,11,69.7,14,8,41,8
Dwight Mcneil,Everton,Premier League,"MF,FW",24,1371,69,38,37,74.5,13,6,76,105
James Garner,Everton,Premier League,"MF,DF",23,1594,50,15,13,76.1,47,23,73,57
James Maddison,Tottenham,Premier League,MF,27,1809,164,45,41,81.3,31,12,76,98
Marc Guéhi,Crystal Palace,Premier League,DF,24,3059,134,22,16,83.5,61,28,146,13
Max Kilman,West Ham,Premier League,DF,27,3348,113,31,16,86.7,39,38,146,4
Morgan Gibbs-White,Nott'ham Forest,Premier League,MF,24,2803,164,69,51,78.3,43,23,127,45
Oliver Skipp,Leicester City,Premier League,MF,23,1129,35,16,9,83.5,21,11,46,5
Alexis Mac Allister,Liverpool,Premier League,MF,25,2599,177,36,45,83.5,95,22,148,86
Anthony Gordon,Newcastle Utd,Premier League,"FW,MF",23,2434,98,121,51,73.3,32,7,97,131
Billy Gilmour,Napoli,Serie A,MF,23,1177,67,11,21,88.5,24,9,64,18
Bruno Fernandes,Manchester Utd,Premier League,MF,29,3018,325,77,91,76.1,84,26,213,186
Caoimhín Kelleher,Liverpool,Premier League,GK,25,900,0,0,0,75.7,0,0,18,0
Che Adams,Torino,Serie A,FW,28,2652,40,23,26,74.3,12,2,50,10
Cole Palmer,Chelsea,Premier League,"MF,FW",22,3191,214,120,87,77,34,11,106,144
Dean Henderson,Crystal Palace,Premier League,GK,27,3420,0,0,3,61.3,2,0,26,0
Ezri Konsa,Aston Villa,Premier League,DF,26,2936,90,24,6,92.9,34,24,97,5
Faustino Anjorin,Empoli,Serie A,MF,22,1114,55,28,17,80.5,29,13,65,17
Gabriel Martinelli,Arsenal,Premier League,"FW,MF",23,2290,52,124,40,71.4,23,5,78,92
James Justin,Leicester City,Premier League,DF,26,2912,91,39,14,78.2,58,46,88,57
Jarrad Branthwaite,Everton,Premier League,DF,22,2511,66,10,3,82.1,36,27,93,5
John Mcginn,Aston Villa,Premier League,"MF,FW",29,2223,103,32,31,81.9,33,14,100,60
João Pedro,Brighton,Premier League,"FW,MF",22,1948,78,66,30,72.9,16,9,59,22
Leandro Trossard,Arsenal,Premier League,FW,29,2546,101,80,41,74.5,31,9,104,86
Lloyd Kelly,Juventus,Serie A,DF,25,1013,36,10,3,83.1,15,2,55,14
Luke Thomas,Leicester City,Premier League,DF,23,1110,37,5,9,78.4,31,21,42,29
Neco Williams,Nott'ham Forest,Premier League,DF,23,2594,89,68,18,75.5,90,31,110,59
Pedro Neto,Chelsea,Premier League,FW,24,2269,60,126,46,78.4,23,9,81,149
Reece James,Chelsea,Premier League,"DF,MF",24,1063,64,7,11,84,10,13,66,43
Sander Berge,Fulham,Premier League,MF,26,2224,124,29,18,91.5,50,21,126,3
Taylor Harwood-Bellis,Southampton,Premier League,DF,22,2825,125,29,14,87.4,28,30,123,10
Tomáš Souček,West Ham,Premier League,MF,29,2567,74,9,14,73.8,46,20,63,14
Tyrick Mitchell,Crystal Palace,Premier League,DF,24,3092,70,63,41,72,91,19,168,105
Adrian Bernabe,Parma,Serie A,MF,23,1453,115,37,22,83.6,29,7,72,29
Amad Diallo,Manchester Utd,Premier League,"MF,FW",22,1901,60,109,49,83.8,38,11,109,42
Anthony Elanga,Nott'ham Forest,Premier League,"FW,MF",22,2501,63,102,50,65.3,19,6,89,185
Antonee Robinson,Fulham,Premier League,DF,26,3167,131,118,43,76.8,95,62,157,170
Dara O'Shea,Ipswich Town,Premier League,DF,25,3122,80,3,3,78.2,49,33,110,8
Eberechi Eze,Crystal Palace,Premier League,"MF,FW",26,2588,97,69,58,74.2,39,11,146,112
Elia Caprile,Cagliari,Serie A,GK,22,1620,0,0,0,68.3,1,0,16,0
Elliot Anderson,Nott'ham Forest,Premier League,MF,21,2728,143,52,37,78.3,92,31,207,86
Jack Harrison,Everton,Premier League,FW,27,2076,51,73,33,62.8,32,10,73,131
Jacob Ramsey,Aston Villa,Premier League,"FW,MF",23,1623,68,61,21,84.8,30,8,83,12
Joël Veltman,Brighton,Premier League,DF,32,1697,85,32,6,80.2,43,19,68,24
Kalvin Phillips,Ipswich Town,Premier League,MF,28,1237,51,4,5,79.1,35,19,68,20
Leif Davis,Ipswich Town,Premier League,DF,24,2743,59,52,61,71.6,46,25,113,161
Liam Delap,Ipswich Town,Premier League,FW,21,2593,30,61,21,61.3,11,2,68,5
Matty Cash,Aston Villa,Premier League,DF,26,2070,42,48,10,77.5,56,23,81,40
Moisés Caicedo,Chelsea,Premier League,"MF,DF",22,3351,215,43,30,89.7,114,49,229,10
Ollie Watkins,Aston Villa,Premier League,FW,28,2598,31,55,24,72.4,10,8,43,7
Robert Sánchez,Chelsea,Premier League,GK,26,2880,1,0,2,69.7,0,2,43,0
Rúben Dias,Manchester City,Premier League,DF,27,2271,160,43,5,93.5,17,20,78,3
Timothy Castagne,Fulham,Premier League,DF,28,1649,62,17,9,81.8,46,22,57,37
Valentino Livramento,Newcastle Utd,Premier League,DF,21,2840,158,83,25,85.4,54,23,189,52
Vladimír Coufal,West Ham,Premier League,DF,31,1067,39,26,8,78.6,22,8,39,28
