"Player","Squad","League","Age","progressive_passes_per90","progressive_carries_per90","key_passes_per90","tackles_per90","interceptions_per90","recoveries_per90","crosses_per90","pass_completion","progression_score","defending_score","xT_proxy","age_score","scouting_score","role_profile"
"Romain Perraud","Betis","La Liga",26,2.78721278721279,2.29270729270729,0.719280719280719,1.61838161838162,0.989010989010989,4.27072927072927,3.19180819180819,79.6,1.82742082095517,6.87812187812188,2.58941058941059,0.5,2.97400489181863,"Balanced Defender"
"Ronald Araújo","Barcelona","La Liga",24,4.55182774161242,1.08162243365048,0.360540811216825,1.21682523785679,0.540811216825238,4.59689534301452,0.360540811216825,88.8,1.68679853885146,6.35453179769654,3.16374561842764,0.75,2.81987895484955,"Possession Defender"
"Ruan","Sassuolo","Serie A",24,1.95910290237467,0.474934036939314,0.237467018469657,1.48416886543536,1.42480211081794,4.74934036939314,0.118733509234828,85,0.760361701288406,7.65831134564644,1.36543535620053,0.75,2.83663808420929,"Balanced Defender"
"Ruben Aguilar","Lens","Ligue 1",31,5.53807569961598,2.12401079836025,1.04913235397588,2.60210486555745,1.1292035283531,5.64460119018964,3.63765594854115,80.85,2.5823425593779,9.37590958410019,4.17244973911369,0.25,3.97655989898122,"Elite Progressive CB"
"Rubén Duarte","Alavés","La Liga",27,3.88178913738019,0.766773162939297,0.814696485623003,1.86900958466454,1.10223642172524,4.45686900958466,3.35463258785942,68.4,1.57071734754557,7.42811501597444,2.63578274760383,0.5,3.02512144381056,"Balanced Defender"
"Rubén Peña","Osasuna","La Liga",32,3.36206896551724,2.67241379310345,1.20689655172414,2.02586206896552,1.29310344827586,5.77586206896552,4.78448275862069,65.5,2.29683457771102,9.0948275862069,3.08620689655172,0.25,3.76268210694648,"Elite Progressive CB"
"Ryan Manning","Southampton","Premier League",28,2.15458276333789,0.861833105335157,2.09302325581395,1.72366621067031,1.04651162790698,4.00136798905609,5.17099863201094,77.1,1.64973102593979,6.77154582763338,1.6374829001368,0.5,2.86845615866593,"Balanced Defender"
"Rúben Dias","Manchester City","Premier League",27,6.21261349716054,1.44993735684607,0.222170256194239,1.02267078196311,0.923851013053625,3.44475400366412,0.288050102133894,93.6,2.19121142018118,5.39127579868086,4.30754304103475,0.5,2.68746730767673,"Ball Progressor"
"Saba Goglichidze","Empoli","Serie A",20,1.59511618747538,0.425364316660102,0.106341079165026,2.26860968885388,1.16975187081528,3.82827884994092,0.177235131941709,77.9,0.600874340607183,7.26664040961008,1.12721543914927,1,2.6982418591259,"Balanced Defender"
"Sael Kumbedi","Lyon","Ligue 1",19,3.79624318898767,2.01365275103445,0.480099553443402,2.78596009668565,1.06036707771724,4.43627350567414,2.02609693145971,82.55,1.88832542765438,8.28260068007702,3.08320701380638,1,3.52266037508486,"Defensive Stopper"
"Saidou Sow","Strasbourg","Ligue 1",22,1.41453831041257,0,0.176817288801572,0.795677799607073,1.32612966601179,3.18271119842829,0,90.7,0.423221547951813,5.30451866404715,0.848722986247544,0.75,2.00134421839487,"Possession Defender"
"Sam Beukema","Bologna","Serie A",25,3.62861275745076,0.650736277504822,0.273077302099024,1.28380471048668,0.713224839159264,4.56110188222376,0.154857601396534,88,1.2604780143216,6.5581314318697,2.43746216547239,0.625,2.68463063528955,"Possession Defender"
"Samuel Gigot","Marseille","Ligue 1",29,2.81575898030127,0.52143684820394,0.365005793742758,1.720741599073,1.30359212050985,4.17149478563152,0.312862108922364,87.8,1.04166985445583,7.19582850521437,1.89803012746234,0.25,2.71321649334664,"Possession Defender"
"Samuel Lino","Atlético Madrid","La Liga",24,3.9339314036479,4.921763481364,1.37346352101507,2.27654143536876,0.534843378271213,5.57994647105472,2.07580789056305,79.9,3.34185034448393,8.39133128469469,4.32906423473434,0.75,4.08403952320198,"Elite Progressive CB"
"Samuele Birindelli","Monza","Serie A",25,2.63771689738769,2.63450379075519,1.08828378482642,1.3003183665845,0.708924010281941,3.16204717023272,3.16900636327089,78.7,2.05545865631958,5.17128954709917,2.63643165473469,0.625,2.57727032665758,"Balanced Defender"
"Santiago Bueno","Wolves","Premier League",25,1.49377593360996,0.0533491404860699,0,2.18731475992887,0.800237107291049,2.29401304090101,0,88,0.396786911331056,5.28156490812092,0.917605216360403,0.5,1.9311842369687,"Possession Defender"
"Santiago Mouriño","Alavés","La Liga",22,2.23904813412655,0.681449432125473,0.340724716062737,2.09302325581395,1.41157382368848,4.13737155219037,0.194699837750135,78,0.946681513514487,7.64196863169281,1.61600865332612,0.75,2.89926319491364,"Balanced Defender"
"Saúl Coco","Torino","Serie A",25,2.46014680037217,0.445363382611393,0.0354250663358489,1.35504324752748,0.993211344291671,3.41531410455219,0.051242289534443,88.35,0.799994901445613,5.76356869637134,1.65423343326786,0.625,2.26241856948965,"Possession Defender"
"Scott Mckenna","Las Palmas","La Liga",27,1.64233576642336,0.401459854014599,0.145985401459854,0.766423357664234,0.328467153284672,2.51824817518248,0.072992700729927,86.7,0.618747453617611,3.61313868613139,1.14598540145985,0.5,1.51814058728646,"Balanced Defender"
