"Player","Squad","League","Pos","Age","Min","PrgP","PrgC","KP","Cmp.","Tkl","Int","Recov","Crs","PrgP_90","PrgC_90","KP_90","Tkl_90","Int_90","Recov_90","Defensive_Intensity","Ball_Progression","Creative_Involvement","Passing_Security","Modern_CB_Score","Cluster","Cluster_Label"
"Willian Pacho","Paris S-G","Ligue 1","DF",22,2132,53,3,3,94.8,56,40,119,0,2.23733583489681,0.126641651031895,0.126641651031895,2.36397748592871,1.68855534709193,5.0234521575985,2.82621951219512,1.60412757973734,0.126641651031895,94.8,11.129824108818,"2","Balanced centre-backs"
"Arthur Chaves","Hoffenheim","Bundesliga","DF",23,2185,57,10,5,82.1,51,37,93,8,2.34782608695652,0.411899313501144,0.205949656750572,2.10068649885584,1.52402745995423,3.83066361556064,2.36018306636156,1.76704805491991,0.205949656750572,82.1,9.77377574370709,"2","Balanced centre-backs"
"Chrislain Matsima","Augsburg","Bundesliga","DF",22,2551,84,14,5,86,31,52,143,3,2.96354370834967,0.493923951391611,0.17640141121129,1.09368874951,1.83457467659741,5.04508036064288,2.30380243041944,2.22265778126225,0.17640141121129,86,10.3218541748334,"2","Balanced centre-backs"
"David Zec","Holstein Kiel","Bundesliga","DF",24,1541,34,3,8,87.7,23,17,76,1,1.98572355613238,0.175210902011681,0.467229072031149,1.34328358208955,0.992861778066191,4.43867618429591,2.01200519143413,1.44256975989617,0.467229072031149,87.7,10.1213140817651,"2","Balanced centre-backs"
"Denis Vavro","Wolfsburg","Bundesliga","DF",28,2461,96,9,7,86.9,21,37,89,8,3.51076798049573,0.329134498171475,0.255993498577814,0.767980495733442,1.35310849248273,3.25477448191792,1.56521739130435,2.55627793579846,0.255993498577814,86.9,10.2987362860626,"2","Balanced centre-backs"
"Jakov Medić","Bochum","Bundesliga","DF",25,1603,27,2,3,87.4,13,22,73,1,1.51590767311291,0.112289457267623,0.168434185901435,0.729881472239551,1.23518402994386,4.09856519026825,1.72364316905802,1.09482220835933,0.168434185901435,87.4,9.80646912039925,"2","Balanced centre-backs"
"Konstantinos Koulierakis","Wolfsburg","Bundesliga","DF",20,2468,104,20,10,83,40,33,93,13,3.79254457050243,0.729335494327391,0.364667747163695,1.45867098865478,1.20340356564019,3.39141004862237,1.8652755267423,2.87358184764992,0.364667747163695,83,10.1569793354943,"1","Progressive distributors"
"Leo Skiri Østigård","Hoffenheim","Bundesliga","DF",24,927,51,0,3,83.9,9,9,44,2,4.95145631067961,0,0.29126213592233,0.87378640776699,0.87378640776699,4.27184466019417,1.72330097087379,3.46601941747573,0.29126213592233,83.9,10.4232524271845,"1","Progressive distributors"
"Leo Skiri Østigård","Rennes","Ligue 1","DF",24,1227,50,3,2,84.8,20,15,51,0,3.66748166259169,0.220048899755501,0.146699266503667,1.46699266503667,1.10024449877751,3.74083129584352,1.92542787286064,2.63325183374083,0.146699266503667,84.8,10.2292053789731,"2","Balanced centre-backs"
"Leopold Querfeld","Union Berlin","Bundesliga","DF",20,1747,49,3,10,80.8,25,19,66,0,2.5243274184316,0.154550658271322,0.515168860904407,1.28792215226102,0.978820835718374,3.40011448196909,1.72323983972524,1.81339439038351,0.515168860904407,80.8,9.4857670291929,"2","Balanced centre-backs"
"Lutsharel Geertruida","RB Leipzig","Bundesliga","DF",24,1557,93,21,10,86.7,35,16,83,13,5.3757225433526,1.21387283236994,0.578034682080925,2.02312138728324,0.92485549132948,4.79768786127168,2.38728323699422,4.1271676300578,0.578034682080925,86.7,11.2431213872832,"1","Progressive distributors"
"Marko Ivezić","Holstein Kiel","Bundesliga","DF",22,1657,40,3,4,86,29,27,71,1,2.17260108630054,0.162945081472541,0.217260108630054,1.57513578756789,1.46650573325287,3.85636692818346,2.11285455642728,1.56970428485214,0.217260108630054,86,9.99996982498491,"2","Balanced centre-backs"
"Ramon Hendriks","Stuttgart","Bundesliga","DF",23,1154,36,8,6,83.7,20,19,40,12,2.80762564991334,0.623916811091854,0.467937608318891,1.55979202772964,1.48180242634315,3.11958405545927,1.9263431542461,2.1525129982669,0.467937608318891,83.7,9.97541594454073,"1","Progressive distributors"
"Igor Zubeldia","Real Sociedad","La Liga","DF",27,2269,101,22,4,86.4,34,31,86,1,4.00617011899515,0.872631115028647,0.158660202732481,1.34861172322609,1.22961657117673,3.41119435874835,1.82855883649185,3.0661084178052,0.158660202732481,86.4,10.5302379903041,"2","Balanced centre-backs"
"Daniel Vivian","Athletic Club","La Liga","DF",25,2608,185,36,10,87.1,40,47,164,8,6.38420245398773,1.24233128834356,0.345092024539877,1.38036809815951,1.62193251533742,5.65950920245399,2.5226226993865,4.84164110429448,0.345092024539877,87.1,11.581338190184,"1","Progressive distributors"
"Pau Torres","Aston Villa","Premier League","DF",27,2020,97,40,3,88.9,21,10,62,3,4.32178217821782,1.78217821782178,0.133663366336634,0.935643564356436,0.445544554455446,2.76237623762376,1.24529702970297,3.55990099009901,0.133663366336634,88.9,10.7698638613861,"2","Balanced centre-backs"
"Javi Sánchez","Valladolid","La Liga","DF",27,2026,34,4,6,87.3,26,22,57,0,1.51036525172754,0.177690029615005,0.266535044422507,1.15498519249753,0.977295162882527,2.53208292201382,1.4459526159921,1.11056268509378,0.266535044422507,87.3,9.72028874629813,"2","Balanced centre-backs"
"Juan Berrocal","Getafe","La Liga","DF",25,1063,25,1,1,76.1,14,15,35,0,2.11665098777046,0.0846660395108184,0.0846660395108184,1.18532455315146,1.26999059266228,2.96331138287865,1.6552210724365,1.50705550329257,0.0846660395108184,76.1,8.80484948259642,"2","Balanced centre-backs"
"Mohammed Salisu","Monaco","Ligue 1","DF",25,1023,68,8,3,85.4,28,16,55,0,5.98240469208211,0.703812316715543,0.263929618768328,2.4633431085044,1.40762463343109,4.83870967741935,2.74046920821114,4.39882697947214,0.263929618768328,85.4,11.298284457478,"1","Progressive distributors"
"Robin Le Normand","Atlético Madrid","La Liga","DF",27,2151,55,11,3,90.4,27,10,82,1,2.30125523012552,0.460251046025105,0.125523012552301,1.12970711297071,0.418410041841004,3.43096234309623,1.49163179916318,1.7489539748954,0.125523012552301,90.4,10.2804811715481,"2","Balanced centre-backs"
"Jorge Sáenz","Leganés","La Liga","DF",27,1690,36,5,2,83.7,37,25,58,0,1.91715976331361,0.266272189349112,0.106508875739645,1.97041420118343,1.33136094674556,3.0887573964497,2.05828402366864,1.42189349112426,0.106508875739645,83.7,9.67513313609468,"2","Balanced centre-backs"
"Martin Valjent","Mallorca","La Liga","DF",28,2763,91,23,4,85.9,30,18,102,11,2.96416938110749,0.749185667752443,0.130293159609121,0.977198697068404,0.586319218241042,3.32247557003257,1.44625407166124,2.29967426710098,0.130293159609121,85.9,10.0356026058632,"2","Balanced centre-backs"
"Modibo Sagnan","Montpellier","Ligue 1","DF",25,2141,51,13,6,88.6,57,29,90,1,2.14385801027557,0.546473610462401,0.252218589444185,2.39607659971976,1.21905651564689,3.78327884166277,2.38977113498365,1.66464269033162,0.252218589444185,88.6,10.4001097617936,"2","Balanced centre-backs"
"Éder Militão","Real Madrid","La Liga","DF",26,938,46,7,6,89.3,19,12,44,2,4.4136460554371,0.671641791044776,0.575692963752665,1.82302771855011,1.15138592750533,4.22174840085288,2.22121535181237,3.2910447761194,0.575692963752665,89.3,11.110197228145,"1","Progressive distributors"
