"Player","Squad","League","Pos","Age","Min","PrgP","PrgC","KP","Cmp.","Tkl","Int","Recov","Crs","PrgP_90","PrgC_90","KP_90","Tkl_90","Int_90","Recov_90","Defensive_Intensity","Ball_Progression","Creative_Involvement","Passing_Security","Modern_CB_Score","Cluster","Cluster_Label"
"Cameron Burgess","Ipswich Town","Premier League","DF",28,1541,42,2,7,80.9,17,14,44,0,2.45295262816353,0.116807268007787,0.408825438027255,0.992861778066191,0.81765087605451,2.56975989617132,1.33452303698897,1.75210902011681,0.408825438027255,80.9,9.31925048669695,"2","Balanced centre-backs"
"Dean Huijsen","Bournemouth","Premier League","DF",19,2427,132,41,15,83.4,36,51,105,12,4.89493201483313,1.5203955500618,0.556242274412855,1.33498145859085,1.89122373300371,3.89369592088999,2.14153275648949,3.88257107540173,0.556242274412855,83.4,10.7260012360939,"1","Progressive distributors"
"Jacob Greaves","Ipswich Town","Premier League","DF",23,2205,69,11,5,85.8,40,21,61,1,2.81632653061225,0.448979591836735,0.204081632653061,1.63265306122449,0.857142857142857,2.48979591836735,1.61428571428571,2.10612244897959,0.204081632653061,85.8,10.0180612244898,"2","Balanced centre-backs"
"Luke Woolfenden","Ipswich Town","Premier League","DF",25,1187,15,7,0,88.3,9,19,38,0,1.13732097725358,0.530749789385004,0,0.682392586352148,1.44060657118787,2.88121314237574,1.45956192080876,0.955349620893008,0,88.3,9.72298652064027,"2","Balanced centre-backs"
"Morato","Nott'ham Forest","Premier League","DF",23,907,19,1,0,77,22,10,36,0,1.88533627342889,0.0992282249173098,0,2.18302094818082,0.992282249173098,3.57221609702315,2.17309812568908,1.34950385887541,0,77,9.00038588754134,"2","Balanced centre-backs"
"Nikola Milenković","Nott'ham Forest","Premier League","DF",26,3330,51,3,9,82.3,51,27,85,0,1.37837837837838,0.0810810810810811,0.243243243243243,1.37837837837838,0.72972972972973,2.2972972972973,1.41351351351351,0.989189189189189,0.243243243243243,82.3,9.15689189189189,"2","Balanced centre-backs"
"Riccardo Calafiori","Arsenal","Premier League","DF",22,983,54,22,6,85.6,27,9,35,11,4.9440488301119,2.01424211597152,0.549338758901322,2.47202441505595,0.824008138351984,3.20447609359105,2.16073245167853,4.06510681586979,0.549338758901322,85.6,11.0246998982706,"1","Progressive distributors"
"Woyo Coulibaly","Parma","Serie A","DF",25,1084,41,36,8,86.7,13,8,60,5,3.40405904059041,2.98892988929889,0.664206642066421,1.07933579335793,0.664206642066421,4.98154981549815,1.93035055350553,3.27952029520295,0.664206642066421,86.7,10.7570618081181,"1","Progressive distributors"
"Sebastiano Luperto","Cagliari","Serie A","DF",27,3240,96,22,8,83.9,48,33,139,8,2.66666666666667,0.611111111111111,0.222222222222222,1.33333333333333,0.916666666666667,3.86111111111111,1.84027777777778,2.05,0.222222222222222,83.9,9.88743055555556,"2","Balanced centre-backs"
"Alessandro Buongiorno","Napoli","Serie A","DF",25,1924,82,27,5,90.8,39,35,84,1,3.83575883575884,1.26299376299376,0.233887733887734,1.82432432432432,1.63721413721414,3.92931392931393,2.29443866943867,3.06392931392931,0.233887733887734,90.8,11.1437084199584,"1","Progressive distributors"
"Luca Ranieri","Fiorentina","Serie A","DF",25,3071,80,25,16,85.4,42,28,95,9,2.34451318788668,0.732660371214588,0.468902637577336,1.23086942364051,0.820579615760339,2.78410941061543,1.49609247802019,1.86095734288505,0.468902637577336,85.4,9.87835070009769,"2","Balanced centre-backs"
"Giangiacomo Magnani","Hellas Verona","Serie A","DF",28,1065,31,4,1,80.7,20,17,38,2,2.61971830985915,0.338028169014085,0.0845070422535211,1.69014084507042,1.43661971830986,3.2112676056338,1.9943661971831,1.93521126760563,0.0845070422535211,80.7,9.55478873239437,"2","Balanced centre-backs"
"Andrea Carboni","Monza","Serie A","DF",23,2191,51,9,4,85.5,60,27,62,15,2.09493382017344,0.369694203560018,0.164308534915564,2.46462802373346,1.10908261068005,2.54678229119124,2.07850296668188,1.57736193518941,0.164308534915564,85.5,9.93306709265176,"2","Balanced centre-backs"
"Botond Balogh","Parma","Serie A","DF",22,2053,37,7,2,89.3,36,25,64,1,1.62201656113005,0.306867998051632,0.0876765708718948,1.57817827569411,1.09595713589868,2.80565026790063,1.74037993180711,1.22747199220653,0.0876765708718948,89.3,10.0432732586459,"2","Balanced centre-backs"
"Ardian Ismajli","Empoli","Serie A","DF",27,2508,38,3,2,86.8,30,56,83,0,1.36363636363636,0.107655502392344,0.0717703349282297,1.07655502392344,2.00956937799043,2.97846889952153,1.83193779904306,0.986842105263158,0.0717703349282297,86.8,9.72668062200957,"2","Balanced centre-backs"
"Lautaro Valenti","Parma","Serie A","DF",25,1556,28,3,4,84.5,17,13,48,2,1.61953727506427,0.173521850899743,0.231362467866324,0.983290488431877,0.751928020565553,2.77634961439589,1.36214652956298,1.18573264781491,0.231362467866324,84.5,9.43574871465296,"2","Balanced centre-backs"
"Nicolò Casale","Bologna","Serie A","DF",26,900,29,3,3,87.5,11,17,43,0,2.9,0.3,0.3,1.1,1.7,4.3,2.08,2.12,0.3,87.5,10.371,"2","Balanced centre-backs"
"Adam Obert","Cagliari","Serie A","DF",21,1077,50,12,10,76.9,31,23,59,11,4.17827298050139,1.00278551532033,0.835654596100278,2.59052924791086,1.92200557103064,4.93036211699164,2.97493036211699,3.22562674094707,0.835654596100278,76.9,10.1468245125348,"1","Progressive distributors"
"Diego Coppola","Hellas Verona","Serie A","DF",20,2927,48,4,3,81.1,66,72,89,0,1.47591390502221,0.122992825418517,0.092244619063888,2.02938161940553,2.21387085753331,2.73659036556201,2.26153057738299,1.0700375811411,0.092244619063888,81.1,9.34338742740007,"2","Balanced centre-backs"
"Johan Vásquez","Genoa","Serie A","DF",25,3041,96,37,7,84.7,56,50,122,7,2.84117066754357,1.09503452811575,0.207168694508385,1.65734955606708,1.47977638934561,3.61065439000329,2.09240381453469,2.31732982571523,0.207168694508385,84.7,10.1603485695495,"2","Balanced centre-backs"
"Koni De Winter","Genoa","Serie A","DF",22,2135,56,10,3,86.6,33,25,114,4,2.36065573770492,0.421545667447307,0.126463700234192,1.39110070257611,1.05386416861827,4.8056206088993,2.14355971896956,1.77892271662763,0.126463700234192,86.6,10.1407845433255,"2","Balanced centre-backs"
"Michael Svoboda","Venezia","Serie A","DF",25,1314,43,13,5,84.8,26,22,71,2,2.94520547945205,0.89041095890411,0.342465753424658,1.78082191780822,1.50684931506849,4.86301369863014,2.46917808219178,2.32876712328767,0.342465753424658,84.8,10.3270890410959,"1","Progressive distributors"
"Federico Baschirotto","Lecce","Serie A","DF",27,3420,71,13,4,86.2,37,23,93,5,1.86842105263158,0.342105263157895,0.105263157894737,0.973684210526316,0.605263157894737,2.44736842105263,1.23157894736842,1.41052631578947,0.105263157894737,86.2,9.63105263157895,"2","Balanced centre-backs"
"Federico Gatti","Juventus","Serie A","DF",26,2195,73,24,6,95,28,18,110,1,2.99316628701595,0.984054669703872,0.246013667425968,1.14806378132118,0.738041002277904,4.51025056947608,1.86560364464692,2.39043280182232,0.246013667425968,95,11.1460364464692,"2","Balanced centre-backs"
"Isak Hien","Atalanta","Serie A","DF",25,2327,51,7,2,89.7,48,31,141,1,1.97249677696605,0.270734851740438,0.0773528147829824,1.85646755479158,1.19896862913623,5.45337344220026,2.55844434894714,1.46196819939837,0.0773528147829824,89.7,10.4618457241083,"2","Balanced centre-backs"
"Jaka Bijol","Udinese","Serie A","DF",25,2963,98,22,12,83.6,43,38,101,3,2.97671279109011,0.668241646979413,0.364495443806952,1.30610867364158,1.15423557205535,3.06783665204185,1.70097873776578,2.2841714478569,0.364495443806952,83.6,9.92368545393182,"2","Balanced centre-backs"
"Jhon Lucumí","Bologna","Serie A","DF",26,2614,108,34,8,91.1,53,26,176,4,3.71843917368018,1.17061973986228,0.275439938791125,1.8247895944912,0.895179801071155,6.05967865340474,2.60462892119357,2.95409334353481,0.275439938791125,91.1,11.2445734506503,"1","Progressive distributors"
"Alan Matturro","Genoa","Serie A","DF",19,900,15,12,3,78,11,14,26,8,1.5,1.2,0.3,1.1,1.4,2.6,1.565,1.41,0.3,78,8.95675,"2","Balanced centre-backs"
"Alberto Dossena","Como","Serie A","DF",25,1825,36,4,5,87.6,33,22,68,1,1.77534246575342,0.197260273972603,0.246575342465753,1.62739726027397,1.08493150684932,3.35342465753425,1.89616438356164,1.30191780821918,0.246575342465753,87.6,9.98141095890411,"2","Balanced centre-backs"
"Luca Marianucci","Empoli","Serie A","DF",20,1069,28,12,3,76.8,28,19,43,7,2.35734331150608,1.01028999064546,0.252572497661366,2.35734331150608,1.59962581852198,3.62020579981291,2.44574368568756,1.9532273152479,0.252572497661366,76.8,9.35518709073901,"2","Balanced centre-backs"
"Pietro Comuzzo","Fiorentina","Serie A","DF",19,2200,75,14,7,85.7,43,29,86,3,3.06818181818182,0.572727272727273,0.286363636363636,1.75909090909091,1.18636363636364,3.51818181818182,2.02704545454545,2.31954545454545,0.286363636363636,85.7,10.2502386363636,"2","Balanced centre-backs"
"Saba Goglichidze","Empoli","Serie A","DF",20,2539,45,12,3,77.9,64,33,108,5,1.59511618747538,0.425364316660102,0.106341079165026,2.26860968885388,1.16975187081528,3.82827884994092,2.32886963371406,1.2441906262308,0.106341079165026,77.9,9.118731784167,"2","Balanced centre-backs"
"Sam Beukema","Bologna","Serie A","DF",25,3012,153,27,10,86.4,54,30,135,8,4.57171314741036,0.806772908366534,0.298804780876494,1.61354581673307,0.896414342629482,4.03386454183267,2.00348605577689,3.44223107569721,0.298804780876494,86.4,10.7629332669323,"1","Progressive distributors"
"Thomas Kristensen","Udinese","Serie A","DF",22,1754,76,19,4,79.9,31,21,63,10,3.89965792474344,0.974914481185861,0.205245153933865,1.59064994298746,1.07753705815279,3.23261117445838,1.84720638540479,3.02223489167617,0.205245153933865,79.9,9.87620296465222,"2","Balanced centre-backs"
"Daniele Ghilardi","Hellas Verona","Serie A","DF",21,2029,57,16,6,78.4,44,30,55,10,2.52833908329226,0.70970921636274,0.266140956136028,1.95170034499754,1.33070478068014,2.43962543124692,1.88738294726466,1.98275012321341,0.266140956136028,78.4,9.3336052242484,"2","Balanced centre-backs"
"Gaby Jean","Lecce","Serie A","DF",24,1388,42,8,1,84.3,14,9,55,1,2.72334293948127,0.518731988472622,0.0648414985590778,0.907780979827089,0.5835734870317,3.56628242074928,1.47514409221902,2.06195965417867,0.0648414985590778,84.3,9.78081051873199,"2","Balanced centre-backs"
"Giovanni Leoni","Parma","Serie A","DF",17,1199,21,0,1,87.7,14,15,34,3,1.57631359466222,0,0.0750625521267723,1.05087572977481,1.12593828190158,2.55212677231026,1.44870725604671,1.10341951626355,0.0750625521267723,87.7,9.72967472894079,"2","Balanced centre-backs"
"Jay Idzes","Venezia","Serie A","DF",24,3127,84,15,8,86,45,32,113,6,2.41765270227055,0.431723696834026,0.230252638311481,1.29517109050208,0.921010553245923,3.25231851614966,1.67220978573713,1.82187400063959,0.230252638311481,86,9.94856092101055,"2","Balanced centre-backs"
"Joël Schingtienne","Venezia","Serie A","DF",21,1122,28,5,3,86.2,27,14,49,0,2.24598930481283,0.401069518716578,0.240641711229947,2.16577540106952,1.12299465240642,3.93048128342246,2.29411764705882,1.69251336898396,0.240641711229947,86.2,10.1360427807487,"2","Balanced centre-backs"
"Kialonda","Lecce","Serie A","DF",26,2144,34,4,6,86.5,34,32,58,3,1.42723880597015,0.167910447761194,0.251865671641791,1.42723880597015,1.34328358208955,2.43470149253731,1.65391791044776,1.04944029850746,0.251865671641791,86.5,9.68642723880597,"2","Balanced centre-backs"
"Marin Šverko","Venezia","Serie A","DF",26,1117,38,8,2,82.2,20,16,44,2,3.06177260519248,0.644583706356312,0.161145926589078,1.61145926589078,1.28916741271262,3.54521038495971,1.99820948970457,2.33661593554163,0.161145926589078,82.2,9.87819158460161,"2","Balanced centre-backs"
"Nicolás Valentini","Hellas Verona","Serie A","DF",23,1129,42,4,6,67.5,35,15,43,5,3.348095659876,0.318866253321523,0.478299379982285,2.79007971656333,1.19574844995571,3.42781222320638,2.47121346324181,2.43932683790965,0.478299379982285,67.5,8.66240035429584,"1","Progressive distributors"
